如果他知道她经常批评自己,那么道她经常批评	f:0.5093283612535654	m:0.49067163874643455
如果他知道她把自己的书送给了朋友,那么道她把自己的书送给了	f:0.5048585432086832	m:0.4951414567913168
如果他担心她会批评自己,那么心她会批评	f:0.5071485363412018	m:0.4928514636587982
如果他知道她害了自己,那么道她害了	f:0.5050237951473056	m:0.49497620485269456
如果他觉得她对自己没信心,那么得她对自己没	f:0.5008022796928016	m:0.4991977203071985
如果他认为她的骄傲害了自己,那么为她的骄傲害了	f:0.5012964255926322	m:0.4987035744073678
如果他知道她告诉过他有关自己的工作,那么道她告诉过他有关自己的	f:0.5020306635524345	m:0.4979693364475654
如果他说她跟他谈过自己的事,那么她跟他谈过自己	f:0.5012247947692401	m:0.49877520523076
如果他认为她从他那里听说了自己的分数,那么为她从他那里听说了自己的	f:0.5024985206962845	m:0.4975014793037154
如果他知道她在他家洗自己的照片,那么道她在他家洗自己的	f:0.5026804215077483	m:0.49731957849225167
如果他不喜欢她管自己的事,那么喜欢她管自己	f:0.5020534373855531	m:0.4979465626144468
如果他知道她的报告害了自己,那么道她的报告害了	f:0.5044988604570927	m:0.4955011395429073
如果他的话暗示她的信害了自己,那么话暗示她的信害了	f:0.5054063815620777	m:0.4945936184379223
如果他认为她恨自己,那么为她恨	f:0.5015494487475123	m:0.4984505512524877
如果他说她喜欢自己,那么她喜欢	f:0.5068692214799125	m:0.49313077852008746
如果他告诉别人她觉得自己明年可以考进好大学,那么诉别人她觉得自己明年可以考进好	f:0.5034085070297036	m:0.4965914929702964
如果他说她批评了自己,那么她批评了	f:0.5070646616138988	m:0.49293533838610115
如果他觉得她在批评自己,那么得她在批评	f:0.5028644297056024	m:0.49713557029439764
如果他认为她知道自己的朋友是一个好人,那么为她知道自己的朋友是一个	f:0.5221810125450113	m:0.4778189874549888
如果他觉得她不喜欢自己,那么得她不喜欢	f:0.5022858133550471	m:0.49771418664495304
