如果她说这本书伤害了自己,那么这本书伤害了	f:0.33713167786430054	m:0.3314902235825441	t:0.3313780985531554
如果他说这本书改变了自己,那么这本书改变了	f:0.33235421731480647	m:0.33509414895243544	t:0.33255163373275815
如果他说这本书影响了自己,那么这本书影响了	f:0.3322457664376622	m:0.33531753110054363	t:0.3324367024617942
如果他说这本书吸引了自己,那么这本书吸引了	f:0.33228070580254065	m:0.3352280192869947	t:0.33249127491046454
如果她说这本书启发了自己,那么这本书启发了	f:0.33661100972476005	m:0.33172621467876545	t:0.3316627755964745
如果他说这本书激励了自己,那么这本书激励了	f:0.3323694752975022	m:0.3350972715697593	t:0.3325332531327384
如果她说这本书刺激了自己,那么这本书刺激了	f:0.3371901287694668	m:0.33140949018192767	t:0.33140038104860564
如果他说这本书困扰了自己,那么这本书困扰了	f:0.33248596971989486	m:0.3348470833124833	t:0.33266694696762183
如果他说这本书鼓舞了自己,那么这本书鼓舞了	f:0.33231744353119796	m:0.33520908459901366	t:0.3324734718697884
如果他说这本书鞭策了自己,那么这本书鞭策了	f:0.3322010419115419	m:0.3354692652591538	t:0.3323296928293043
如果他说这本书感动了自己,那么这本书感动了	f:0.33214194739073505	m:0.3355184016848161	t:0.3323396509244489
如果他说这本书迷惑了自己,那么这本书迷惑了	f:0.33204995733210496	m:0.3357054872307677	t:0.3322445554371274
如果她说这本书提醒了自己,那么这本书提醒了	f:0.3358815476794344	m:0.3320907466390359	t:0.3320277056815296
如果他说这封信伤害了自己,那么这封信伤害了	f:0.331783114943141	m:0.3362048863672173	t:0.3320119986896416
如果她说这封信改变了自己,那么这封信改变了	f:0.3382062648289283	m:0.3309102785736638	t:0.330883456597408
如果她说这封信影响了自己,那么这封信影响了	f:0.3377456951226685	m:0.3311490443407453	t:0.33110526053658607
如果她说这封信吸引了自己,那么这封信吸引了	f:0.3380080354726041	m:0.33103557720799265	t:0.3309563873194032
如果她说这封信启发了自己,那么这封信启发了	f:0.33729190650600105	m:0.3314008239659775	t:0.3313072695280215
如果他说这封信激励了自己,那么这封信激励了	f:0.33185936647700903	m:0.336075281110716	t:0.33206535241227497
如果他说这封信刺激了自己,那么这封信刺激了	f:0.3316948552208415	m:0.33629974149837344	t:0.3320054032807849
如果她说这封信困扰了自己,那么这封信困扰了	f:0.3373206019520603	m:0.33134813124957163	t:0.33133126679836794
如果她说这封信鼓舞了自己,那么这封信鼓舞了	f:0.33960247423060524	m:0.3302392800899818	t:0.33015824567941293
如果他说这封信鞭策了自己,那么这封信鞭策了	f:0.33169462622815377	m:0.33643954934710124	t:0.331865824424745
如果她说这封信感动了自己,那么这封信感动了	f:0.3383411245783083	m:0.33083672339888026	t:0.33082215202281146
如果她说这封信刺激了自己,那么这封信刺激了	f:0.3382049373399323	m:0.3309102587995512	t:0.33088480386051655
如果她说这封信迷惑了自己,那么这封信迷惑了	f:0.34063507848255226	m:0.3296679152324367	t:0.329697006285011
如果她说这封信提醒了自己,那么这封信提醒了	f:0.33666782644304893	m:0.33170587663987067	t:0.3316262969170804
如果她说这封信激励了自己,那么这封信激励了	f:0.3378553928337945	m:0.3311301348001499	t:0.3310144723660556
如果他说这个举动伤害了自己,那么这个举动伤害了	f:0.32806044668063766	m:0.34329712493256537	t:0.32864242838679697
如果她说这个举动改变了自己,那么这个举动改变了	f:0.33866603515757426	m:0.3307280794426423	t:0.33060588539978336
如果她说这个举动影响了自己,那么这个举动影响了	f:0.34499909436725135	m:0.3277967412580777	t:0.327204164374671
如果他说这个举动吸引了自己,那么这个举动吸引了	f:0.33091739045079194	m:0.33783813002325325	t:0.33124447952595476
如果她说这个举动启发了自己,那么这个举动启发了	f:0.338841554443664	m:0.3306514269282241	t:0.330507018628112
如果他说这个举动激励了自己,那么这个举动激励了	f:0.329708277147624	m:0.3400314793784554	t:0.3302602434739206
如果他说这个举动刺激了自己,那么这个举动刺激了	f:0.3298412174573762	m:0.3397241524322017	t:0.33043463011042207
如果她说这个举动困扰了自己,那么这个举动困扰了	f:0.3451159271184276	m:0.32769927227424345	t:0.327184800607329
如果她说这个举动鼓舞了自己,那么这个举动鼓舞了	f:0.35214796925374015	m:0.3241792659460158	t:0.3236727648002441
如果他说这个举动鞭策了自己,那么这个举动鞭策了	f:0.328234452237734	m:0.34301534972796366	t:0.3287501980343023
