如果他知道我经常批评自己,那么道我经常批评	f:0.3264998973771746	m:0.3382885009300042	w:0.33521160169282116
如果她知道我经常批评自己,那么道我经常批评	f:0.34562607968531783	m:0.3239496681415754	w:0.33042425217310684
如果他认为她知道我把自己的书送给了自己的朋友,那么为她知道我把自己的书送给了自己的	f:0.3385062446881282	m:0.33037513551330816	w:0.3311186197985636
如果她认为他知道我把自己的书送给了自己的朋友,那么为他知道我把自己的书送给了自己的	f:0.3421010211913243	m:0.3274122451993106	w:0.330486733609365
如果他担心我会批评自己,那么心我会批评	f:0.326600813398932	m:0.33289209180966906	w:0.340507094791399
如果她担心我会批评自己,那么心我会批评	f:0.33674417461977185	m:0.32654132769936806	w:0.33671449768086004
如果他知道我害了自己,那么道我害了	f:0.327514742700096	m:0.3352039992961488	w:0.3372812580037552
如果她知道我害了自己,那么道我害了	f:0.3374514862774101	m:0.3272879606619918	w:0.33526055306059804
如果他觉得我对自己没信心,那么得我对自己没	f:0.32449267069076215	m:0.3407275104682652	w:0.3347798188409726
如果她觉得我对自己没信心,那么得我对自己没	f:0.344087537987308	m:0.32398242462973825	w:0.3319300373829537
如果他认为我的骄傲害了自己,那么为我的骄傲害了	f:0.3256482926982642	m:0.3362750463131057	w:0.3380766609886302
如果她认为我的骄傲害了自己,那么为我的骄傲害了	f:0.3379723971197979	m:0.32617116485163505	w:0.3358564380285671
如果她知道我告诉过她有关自己的工作,那么道我告诉过她有关自己的	f:0.3356540572411275	m:0.3308699577216536	w:0.3334759850372188
如果他知道我告诉过他有关自己的工作,那么道我告诉过他有关自己的	f:0.3309752580552111	m:0.3344744465606646	w:0.3345502953841243
如果他说我跟他谈过自己的事,那么我跟他谈过自己	f:0.3251546235099217	m:0.3393160076106788	w:0.33552936887939955
如果她说我跟她谈过自己的事,那么我跟她谈过自己	f:0.3404710128979103	m:0.3246722146990614	w:0.3348567724030284
如果她认为我从她那里听说了自己的分数,那么为我从她那里听说了自己的	f:0.3433835312585125	m:0.3236361723032174	w:0.33298029643827
如果他认为我从他那里听说了自己的分数,那么为我从他那里听说了自己的	f:0.32394211281510266	m:0.34032005417955374	w:0.3357378330053436
如果他知道我在他家洗自己的照片,那么道我在他家洗自己的	f:0.3299209055773392	m:0.3366609632603389	w:0.3334181311623219
如果她知道我在她家洗自己的照片,那么道我在她家洗自己的	f:0.34002211973129365	m:0.3286701778797205	w:0.3313077023889859
如果当时他怕我再去找自己的麻烦就给了我钱,那么他怕我再去找自己的麻烦就给了	f:0.3314318550661354	m:0.3328248106733174	w:0.33574333426054725
如果当时她怕我再去找自己的麻烦就给了我钱,那么她怕我再去找自己的麻烦就给了	f:0.33386477670090564	m:0.3314475720991727	w:0.33468765119992167
如果她知道我的报告害了自己,那么道我的报告害了	f:0.3360630311495223	m:0.3284453590802288	w:0.33549160977024894
如果他知道我的报告害了自己,那么道我的报告害了	f:0.3282543021474512	m:0.3345297229455025	w:0.3372159749070463
如果他的话暗示我的信害了自己,那么话暗示我的信害了	f:0.3306881775530581	m:0.332764292465529	w:0.33654752998141285
如果她的话暗示我的信害了自己,那么话暗示我的信害了	f:0.33356547320860364	m:0.3309193357222747	w:0.3355151910691217
如果她认为我恨自己,那么为我恨	f:0.3381535620825316	m:0.3278695236735078	w:0.33397691424396064
如果他认为我恨自己,那么为我恨	f:0.3283059021270585	m:0.3357824729166325	w:0.335911624956309
如果他说我喜欢自己,那么我喜欢	f:0.3256961119546051	m:0.3365005651433664	w:0.33780332290202847
如果她说我喜欢自己,那么我喜欢	f:0.3400817781115733	m:0.3241248844130662	w:0.3357933374753605
如果他不喜欢我管自己的事,那么喜欢我管自己	f:0.3277073354417686	m:0.3380478603354357	w:0.33424480422279557
如果她不喜欢我管自己的事,那么喜欢我管自己	f:0.34163655717212893	m:0.32635478667257867	w:0.3320086561552923
如果他告诉别人我觉得自己明年可以考进好大学,那么诉别人我觉得自己明年可以考进好	f:0.3296578547914957	m:0.3352423788213826	w:0.3350997663871218
如果他说我批评了自己,那么我批评了	f:0.3264267303698555	m:0.3344900193149483	w:0.3390832503151962
如果她说我批评了自己,那么我批评了	f:0.3367050370592053	m:0.3260672049807349	w:0.33722775796005994
如果她觉得我在批评自己,那么得我在批评	f:0.3362852337989076	m:0.3299455388540982	w:0.3337692273469942
如果他觉得我在批评自己,那么得我在批评	f:0.33041360434270767	m:0.3341884738044977	w:0.3353979218527947
如果她认为我知道自己的太太是一个好人,那么为我知道自己的太太是一个	f:0.34500317969753436	m:0.32350306747852076	w:0.3314937528239449
如果他认为我知道自己的太太是一个好人,那么为我知道自己的太太是一个	f:0.32657541171240945	m:0.3367459772322338	w:0.3366786110553568
如果他觉得我不喜欢自己,那么得我不喜欢	f:0.32614956076321466	m:0.33699122514346985	w:0.33685921409331543
如果她觉得我不喜欢自己,那么得我不喜欢	f:0.3390167873779448	m:0.3266876475226928	w:0.3342955650993624
