如果他说她诬陷自己,那么她诬陷	f:0.5044536430153683	m:0.49554635698463173
如果他说她拥抱自己,那么她拥抱	f:0.5071095865721311	m:0.49289041342786877
如果他说她离开自己,那么她离开	f:0.5102121330849944	m:0.4897878669150056
如果他说她打扰自己,那么她打扰	f:0.5079936332802876	m:0.4920063667197123
如果他说她超过自己,那么她超过	f:0.5093615019627828	m:0.49063849803721715
如果他说她忘了自己,那么她忘了	f:0.5067370326106998	m:0.4932629673893002
如果他说她回答自己,那么她回答	f:0.5044956378760543	m:0.49550436212394566
如果他说她表扬自己,那么她表扬	f:0.5059484004942723	m:0.49405159950572775
如果他说她反对自己,那么她反对	f:0.5090810509016933	m:0.49091894909830674
如果他说她调查自己,那么她调查	f:0.5049498666655748	m:0.4950501333344251
如果他说她拜访自己,那么她拜访	f:0.5070066961678298	m:0.49299330383217016
如果他说她偷听自己,那么她偷听	f:0.509187833293233	m:0.490812166706767
如果他说她暗恋自己,那么她暗恋	f:0.5061024787053124	m:0.4938975212946875
如果他说她邀请自己,那么她邀请	f:0.504963615826366	m:0.495036384173634
如果他说她等待自己,那么她等待	f:0.5027383923073686	m:0.49726160769263134
如果他说她嫉妒自己,那么她嫉妒	f:0.5091279865646994	m:0.4908720134353006
如果他说她羡慕自己,那么她羡慕	f:0.5077378755566566	m:0.4922621244433434
如果他说她搭讪自己,那么她搭讪	f:0.5096456128499103	m:0.4903543871500898
如果他说她监视自己,那么她监视	f:0.5089185942840401	m:0.4910814057159599
如果他说她吵醒自己,那么她吵醒	f:0.5072465814929564	m:0.49275341850704363
如果他说她激怒自己,那么她激怒	f:0.5046558815522971	m:0.4953441184477029
如果他说她模仿自己,那么她模仿	f:0.5092945068502965	m:0.4907054931497035
如果他说她欺负自己,那么她欺负	f:0.5064440237951489	m:0.49355597620485114
如果他说她追随自己,那么她追随	f:0.5071663656515915	m:0.4928336343484086
如果他说她回避自己,那么她回避	f:0.5071074382124433	m:0.49289256178755664
如果他说她思念自己,那么她思念	f:0.5061005150712876	m:0.49389948492871244
如果他说她仰慕自己,那么她仰慕	f:0.5096354465882033	m:0.4903645534117968
如果他说她冷落自己,那么她冷落	f:0.5065736842958987	m:0.49342631570410134
如果他说她靠近自己,那么她靠近	f:0.5069608628530925	m:0.4930391371469075
如果他说她辅导自己,那么她辅导	f:0.510067453209309	m:0.489932546790691
如果他说她干扰自己,那么她干扰	f:0.5070392992957365	m:0.4929607007042635
如果他说她加入自己,那么她加入	f:0.5087830729840268	m:0.49121692701597325
如果他说她接近自己,那么她接近	f:0.5055494958548833	m:0.49445050414511665
如果他说她看望自己,那么她看望	f:0.5085776351048231	m:0.4914223648951768
如果他说她捞自己,那么她捞	f:0.5102496024257804	m:0.48975039757421956
如果他说她欢迎自己,那么她欢迎	f:0.5051522454531046	m:0.49484775454689556
如果他说她勾引自己,那么她勾引	f:0.5060506265986962	m:0.49394937340130374
如果他说她勾结自己,那么她勾结	f:0.5058671581343879	m:0.49413284186561207
如果他说她等自己,那么她等	f:0.5047025737436315	m:0.4952974262563686
如果他说她等候自己,那么她等候	f:0.5032993364895424	m:0.4967006635104576
如果他说她挤自己,那么她挤	f:0.5084500504148783	m:0.49154994958512166
如果他说她排挤自己,那么她排挤	f:0.5058935451391472	m:0.49410645486085275
如果他说她欺压自己,那么她欺压	f:0.5070816567118178	m:0.4929183432881821
如果他说她探望自己,那么她探望	f:0.5097735585718731	m:0.4902264414281269
如果他说她信任自己,那么她信任	f:0.505362616339843	m:0.49463738366015697
如果他说她响应自己,那么她响应	f:0.5056273593622068	m:0.4943726406377933
如果他说她学习自己,那么她学习	f:0.5091220844116938	m:0.49087791558830624
如果他说她咬自己,那么她咬	f:0.507856391053588	m:0.49214360894641196
如果他说她消灭自己,那么她消灭	f:0.5045512300237153	m:0.4954487699762847
如果他说她追赶自己,那么她追赶	f:0.5080107270519205	m:0.49198927294807937
如果他说她追求自己,那么她追求	f:0.5076714007336093	m:0.49232859926639083
如果他说她阻挡自己,那么她阻挡	f:0.5057752290353326	m:0.49422477096466744
如果他说她孝敬自己,那么她孝敬	f:0.5079886892206232	m:0.4920113107793768
如果他说她赢自己,那么她赢	f:0.506901023839619	m:0.493098976160381
如果他说她招呼自己,那么她招呼	f:0.5055977866123035	m:0.4944022133876965
如果他说她指导自己,那么她指导	f:0.5069867425315634	m:0.4930132574684366
如果他说她支援自己,那么她支援	f:0.508532439381078	m:0.49146756061892205
如果他说她替换自己,那么她替换	f:0.5081280373124597	m:0.4918719626875403
如果他说她通知自己,那么她通知	f:0.5060467875504688	m:0.49395321244953116
如果他说她吸引自己,那么她吸引	f:0.5066143066424615	m:0.49338569335753846
如果他说她影响自己,那么她影响	f:0.5076789033298175	m:0.4923210966701825
如果他说她杀害自己,那么她杀害	f:0.505349052018938	m:0.4946509479810621
如果他说她赔偿自己,那么她赔偿	f:0.5043288059441089	m:0.4956711940558911
如果他说她衬托自己,那么她衬托	f:0.5053773949570535	m:0.4946226050429466
如果他说她扣留自己,那么她扣留	f:0.5058437986460583	m:0.49415620135394167
如果他说她恐吓自己,那么她恐吓	f:0.5034941843910514	m:0.4965058156089487
如果他说她联络自己,那么她联络	f:0.5052185103083721	m:0.4947814896916279
如果他说她忍受自己,那么她忍受	f:0.5052662621158538	m:0.4947337378841461
如果他说她请示自己,那么她请示	f:0.5054272663476251	m:0.49457273365237486
如果他说她算计自己,那么她算计	f:0.5066035091454848	m:0.49339649085451526
