如果她知道他经常批评自己,那么道他经常批评	f:0.5168136148499965	m:0.48318638515000345
如果她知道他把自己的书送给了朋友,那么道他把自己的书送给了	f:0.508501005656758	m:0.49149899434324196
如果她担心他会批评自己,那么心他会批评	f:0.5114984714265612	m:0.48850152857343876
如果她知道他害了自己,那么道他害了	f:0.5070862122928955	m:0.4929137877071045
如果她觉得他对自己没信心,那么得他对自己没	f:0.5088382935052025	m:0.4911617064947975
如果她认为他的骄傲害了自己,那么为他的骄傲害了	f:0.5073897246702771	m:0.49261027532972296
如果她知道他告诉过她有关自己的工作,那么道他告诉过她有关自己的	f:0.5043386538822469	m:0.4956613461177531
如果她说他跟她谈过自己的事,那么他跟她谈过自己	f:0.5104749729564582	m:0.48952502704354184
如果她认为他从她那里听说了自己的分数,那么为他从她那里听说了自己的	f:0.517532759441148	m:0.4824672405588521
如果她知道他在她家洗自己的照片,那么道他在她家洗自己的	f:0.5108269993961675	m:0.4891730006038324
如果她不喜欢他管自己的事,那么喜欢他管自己	f:0.5149426833056441	m:0.48505731669435603
如果她知道他的报告害了自己,那么道他的报告害了	f:0.5042019470403009	m:0.49579805295969914
如果她的话暗示他的信害了自己,那么话暗示他的信害了	f:0.5010947204397681	m:0.4989052795602319
如果她认为他恨自己,那么为他恨	f:0.5089647873084135	m:0.49103521269158645
如果她说他喜欢自己,那么他喜欢	f:0.5140649240803848	m:0.4859350759196151
如果她告诉别人他觉得自己明年可以考进好大学,那么诉别人他觉得自己明年可以考进好	f:0.5130305958509261	m:0.48696940414907397
如果她说他批评了自己,那么他批评了	f:0.5062779143796794	m:0.4937220856203206
如果她觉得他在批评自己,那么得他在批评	f:0.505253088036938	m:0.494746911963062
如果她认为他知道自己的朋友是一个好人,那么为他知道自己的朋友是一个	f:0.5253893138347264	m:0.4746106861652735
如果她觉得他不喜欢自己,那么得他不喜欢	f:0.507673720810191	m:0.492326279189809
