如果他说她反思自己,那么她反思	f:0.5070726489022569	m:0.4929273510977432
如果他说她反省自己,那么她反省	f:0.5065070630594841	m:0.4934929369405158
如果他说她坦白自己,那么她坦白	f:0.5061502826015742	m:0.49384971739842576
如果他说她迷失自己,那么她迷失	f:0.5108269424957679	m:0.48917305750423207
如果他说她克制自己,那么她克制	f:0.5077581560554172	m:0.49224184394458276
如果他说她检讨自己,那么她检讨	f:0.5065169799624565	m:0.4934830200375435
如果他说她放松自己,那么她放松	f:0.5070049223466399	m:0.4929950776533602
如果他说她磨练自己,那么她磨练	f:0.5112044607433843	m:0.48879553925661573
如果他说她奉献自己,那么她奉献	f:0.5054132094526346	m:0.4945867905473653
如果他说她调整自己,那么她调整	f:0.507421029099659	m:0.492578970900341
如果他说她提升自己,那么她提升	f:0.5070753228925138	m:0.4929246771074862
如果他说她炫耀自己,那么她炫耀	f:0.508920895780766	m:0.49107910421923395
如果他说她调节自己,那么她调节	f:0.5064085462665209	m:0.49359145373347907
如果他说她坚持自己,那么她坚持	f:0.504930444199686	m:0.495069555800314
如果他说她交代自己,那么她交代	f:0.5091129609508379	m:0.4908870390491621
如果他说她计较自己,那么她计较	f:0.506131451771701	m:0.49386854822829895
如果他说她检讨自己,那么她检讨	f:0.5065169799624565	m:0.4934830200375435
如果他说她卖弄自己,那么她卖弄	f:0.5065303300612031	m:0.493469669938797
如果他说她表达自己,那么她表达	f:0.5046310832696118	m:0.4953689167303882
如果他说她表现自己,那么她表现	f:0.5052623016400141	m:0.49473769835998593
如果他说她扭伤自己,那么她扭伤	f:0.5083267640469223	m:0.49167323595307766
