如果她说他诬陷自己,那么他诬陷	f:0.5068482711306089	m:0.4931517288693911
如果她说他拥抱自己,那么他拥抱	f:0.5103248398212336	m:0.48967516017876644
如果她说他离开自己,那么他离开	f:0.5238934368338172	m:0.4761065631661829
如果她说他打扰自己,那么他打扰	f:0.5116321686276986	m:0.4883678313723015
如果她说他超过自己,那么他超过	f:0.5120110669067415	m:0.4879889330932586
如果她说他忘了自己,那么他忘了	f:0.5068530735250798	m:0.4931469264749202
如果她说他回答自己,那么他回答	f:0.5046242465506217	m:0.49537575344937834
如果她说他表扬自己,那么他表扬	f:0.5075082068362746	m:0.4924917931637254
如果她说他反对自己,那么他反对	f:0.5142336641671824	m:0.48576633583281764
如果她说他调查自己,那么他调查	f:0.5052209461499042	m:0.49477905385009574
如果她说他拜访自己,那么他拜访	f:0.5089495604159486	m:0.49105043958405137
如果她说他偷听自己,那么他偷听	f:0.5093227459355023	m:0.4906772540644977
如果她说他暗恋自己,那么他暗恋	f:0.5167288412381956	m:0.4832711587618044
如果她说他邀请自己,那么他邀请	f:0.5075016620447464	m:0.4924983379552535
如果她说他等待自己,那么他等待	f:0.5048625475173126	m:0.49513745248268737
如果她说他嫉妒自己,那么他嫉妒	f:0.5116255286317662	m:0.4883744713682337
如果她说他羡慕自己,那么他羡慕	f:0.5153408086433877	m:0.4846591913566123
如果她说他搭讪自己,那么他搭讪	f:0.5121118630016622	m:0.48788813699833783
如果她说他监视自己,那么他监视	f:0.509594535683138	m:0.490405464316862
如果她说他吵醒自己,那么他吵醒	f:0.5101407151059827	m:0.48985928489401737
如果她说他激怒自己,那么他激怒	f:0.5093683494373318	m:0.4906316505626683
如果她说他模仿自己,那么他模仿	f:0.5110440630562735	m:0.48895593694372663
如果她说他欺负自己,那么他欺负	f:0.5094601587879822	m:0.49053984121201777
如果她说他追随自己,那么他追随	f:0.5081848473032077	m:0.4918151526967924
如果她说他回避自己,那么他回避	f:0.5089534900357829	m:0.49104650996421706
如果她说他思念自己,那么他思念	f:0.5080121746539503	m:0.49198782534604973
如果她说他仰慕自己,那么他仰慕	f:0.5122915328598089	m:0.4877084671401911
如果她说他冷落自己,那么他冷落	f:0.5095850047755607	m:0.4904149952244393
如果她说他靠近自己,那么他靠近	f:0.5105027378941617	m:0.4894972621058383
如果她说他辅导自己,那么他辅导	f:0.5075418546498687	m:0.4924581453501314
如果她说他干扰自己,那么他干扰	f:0.5106301939077045	m:0.4893698060922955
如果她说他加入自己,那么他加入	f:0.5122961813056328	m:0.48770381869436724
如果她说他接近自己,那么他接近	f:0.508266033394447	m:0.491733966605553
如果她说他看望自己,那么他看望	f:0.5117496787007606	m:0.48825032129923945
如果她说他捞自己,那么他捞	f:0.5061281346664871	m:0.49387186533351296
如果她说他欢迎自己,那么他欢迎	f:0.5083898518986436	m:0.49161014810135645
如果她说他勾引自己,那么他勾引	f:0.5055271692044869	m:0.4944728307955131
如果她说他勾结自己,那么他勾结	f:0.5060853509681247	m:0.49391464903187526
如果她说他等自己,那么他等	f:0.5065537364762305	m:0.4934462635237695
如果她说他等候自己,那么他等候	f:0.5054936458968248	m:0.4945063541031752
如果她说他挤自己,那么他挤	f:0.5074905247664419	m:0.4925094752335581
如果她说他排挤自己,那么他排挤	f:0.5076037089150257	m:0.4923962910849743
如果她说他欺压自己,那么他欺压	f:0.5102845693157361	m:0.4897154306842639
如果她说他探望自己,那么他探望	f:0.5116985464867561	m:0.48830145351324394
如果她说他信任自己,那么他信任	f:0.5083870440531199	m:0.4916129559468802
如果她说他响应自己,那么他响应	f:0.5054435828205125	m:0.4945564171794875
如果她说他学习自己,那么他学习	f:0.5111857821932874	m:0.48881421780671264
如果她说他咬自己,那么他咬	f:0.5038992582084274	m:0.49610074179157265
如果她说他消灭自己,那么他消灭	f:0.5071214310616871	m:0.492878568938313
如果她说他追赶自己,那么他追赶	f:0.5091761570501435	m:0.4908238429498565
如果她说他追求自己,那么他追求	f:0.5111420774662446	m:0.4888579225337554
如果她说他阻挡自己,那么他阻挡	f:0.5082044752407259	m:0.4917955247592742
如果她说他孝敬自己,那么他孝敬	f:0.512715949179013	m:0.48728405082098697
如果她说他赢自己,那么他赢	f:0.5076225333311096	m:0.4923774666688904
如果她说他招呼自己,那么他招呼	f:0.5055549511025933	m:0.49444504889740665
如果她说他指导自己,那么他指导	f:0.5068458762181484	m:0.49315412378185164
如果她说他支援自己,那么他支援	f:0.5093720582906208	m:0.49062794170937923
如果她说他替换自己,那么他替换	f:0.5116310444315776	m:0.48836895556842236
如果她说他通知自己,那么他通知	f:0.5057923526017318	m:0.4942076473982681
如果她说他吸引自己,那么他吸引	f:0.5076806444921675	m:0.49231935550783246
如果她说他影响自己,那么他影响	f:0.5092766330204322	m:0.4907233669795678
如果她说他杀害自己,那么他杀害	f:0.507830873042732	m:0.49216912695726805
如果她说他赔偿自己,那么他赔偿	f:0.5048159813272796	m:0.49518401867272044
如果她说他衬托自己,那么他衬托	f:0.5067778592233547	m:0.4932221407766453
如果她说他扣留自己,那么他扣留	f:0.5048769655841034	m:0.4951230344158966
如果她说他恐吓自己,那么他恐吓	f:0.5064242034111156	m:0.4935757965888844
如果她说他联络自己,那么他联络	f:0.5060844796120966	m:0.4939155203879034
如果她说他忍受自己,那么他忍受	f:0.5066886209464481	m:0.49331137905355193
如果她说他请示自己,那么他请示	f:0.5072821488761864	m:0.49271785112381367
如果她说他算计自己,那么他算计	f:0.5084237699230975	m:0.49157623007690243
