假如她告诉他一个关于自己的秘密， 那么秘密是关于[MASK]的。	f:0.5314684735952223	m:0.4685315264047777
假如她寄给他一封关于自己的信， 那么信是关于[MASK]的。	f:0.5601249361714633	m:0.4398750638285368
假如她送给他一本关于自己的书， 那么书是关于[MASK]的。	f:0.5597289350778991	m:0.4402710649221009
假如她描述给他一个关于自己的梦， 那么梦是关于[MASK]的。	f:0.5395961713552965	m:0.46040382864470347
假如她解释给他一个关于自己的决定， 那么决定是关于[MASK]的。	f:0.5649612644635547	m:0.4350387355364454
假如她展示给他一幅关于自己的画， 那么画是关于[MASK]的。	f:0.5474434078385568	m:0.45255659216144317
假如她讲述给他一个关于自己的故事， 那么故事是关于[MASK]的。	f:0.5531712274518075	m:0.4468287725481925
假如她编写给他一首关于自己的诗， 那么诗是关于[MASK]的。	f:0.5633074067253142	m:0.43669259327468585
假如她演示给他一个关于自己的技巧， 那么技巧是关于[MASK]的。	f:0.5417263974677544	m:0.4582736025322457
假如她描述给他一场关于自己的经历， 那么经历是关于[MASK]的。	f:0.5837378167752807	m:0.4162621832247193
假如她回忆给他一段关于自己的往事， 那么往事是关于[MASK]的。	f:0.5644413620344427	m:0.43555863796555727
假如她给他看了一张关于自己的照片， 那么照片是关于[MASK]的。	f:0.5555887490694342	m:0.44441125093056577
假如她发给他一条关于自己的消息， 那么消息是关于[MASK]的。	f:0.556025733930747	m:0.443974266069253
假如她写给他一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.558516738271716	m:0.44148326172828406
假如她展示给他一张关于自己的地图， 那么地图是关于[MASK]的。	f:0.586520952955158	m:0.4134790470448419
假如她讲给他一个关于自己的笑话， 那么笑话是关于[MASK]的。	f:0.533965084283609	m:0.466034915716391
假如她传给他一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5721442134165723	m:0.4278557865834277
假如她绘制给他一幅关于自己的草图， 那么草图是关于[MASK]的。	f:0.5554931896874075	m:0.4445068103125926
假如她提供给他一项关于自己的建议， 那么建议是关于[MASK]的。	f:0.5266683696960179	m:0.47333163030398206
假如她演唱给他一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	f:0.5573829206523484	m:0.4426170793476517
假如她设计给他一个关于自己的项目， 那么项目是关于[MASK]的。	f:0.5570807800370863	m:0.4429192199629137
假如她讲述给他一段关于自己的历史， 那么历史是关于[MASK]的。	f:0.6236889598610824	m:0.37631104013891764
假如她推荐给他一本关于自己的传记， 那么传记是关于[MASK]的。	f:0.5569695705269904	m:0.44303042947300963
假如她解释给他一个关于自己的观点， 那么观点是关于[MASK]的。	f:0.5475753697824725	m:0.4524246302175276
假如她分享给他一篇关于自己的论文， 那么论文是关于[MASK]的。	f:0.5691064352694422	m:0.4308935647305579
假如她报告给他一项关于自己的研究， 那么研究是关于[MASK]的。	f:0.6020658694344416	m:0.3979341305655584
假如她送给他一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	f:0.548081204844278	m:0.451918795155722
假如她展示给他一份关于自己的简历， 那么简历是关于[MASK]的。	f:0.5680495716498384	m:0.43195042835016156
假如她描绘给他一幅关于自己的肖像， 那么肖像是关于[MASK]的。	f:0.5812355582774942	m:0.4187644417225059
假如她讨论给他一个关于自己的话题， 那么话题是关于[MASK]的。	f:0.5263999086099547	m:0.47360009139004533
假如她汇报给他一项关于自己的成就， 那么成就是关于[MASK]的。	f:0.580234668444744	m:0.41976533155525597
假如她寄给他一件关于自己的物品， 那么物品是关于[MASK]的。	f:0.5760295870049299	m:0.42397041299507005
假如她翻译给他一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5709512942743334	m:0.42904870572566645
假如她编排给他一个关于自己的节目， 那么节目是关于[MASK]的。	f:0.5471934533716726	m:0.4528065466283275
假如她演示给他一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	f:0.5594946546050623	m:0.4405053453949377
假如她朗读给他一封关于自己的信件， 那么信件是关于[MASK]的。	f:0.5673489719058676	m:0.4326510280941323
假如她发布给他一条关于自己的公告， 那么公告是关于[MASK]的。	f:0.5641171300337926	m:0.43588286996620745
假如她策划给他一个关于自己的活动， 那么活动是关于[MASK]的。	f:0.5813276002955367	m:0.4186723997044634
假如她陈述给他一份关于自己的声明， 那么声明是关于[MASK]的。	f:0.5859380510854046	m:0.4140619489145954
假如她发送给他一条关于自己的通知， 那么通知是关于[MASK]的。	f:0.5495996223561205	m:0.4504003776438794
