假如他说她反思自己,那么她反思[MASK]自己。	m:0.5254406852298493	f:0.4745593147701506
假如他说她反省自己,那么她反省[MASK]自己。	m:0.519584140305923	f:0.4804158596940769
假如他说她坦白自己,那么她坦白[MASK]自己。	m:0.5362648815469987	f:0.46373511845300125
假如他说她迷失自己,那么她迷失[MASK]自己。	m:0.5010361331817453	f:0.49896386681825455
假如他说她克制自己,那么她克制[MASK]自己。	m:0.5189543064081753	f:0.4810456935918247
假如他说她检讨自己,那么她检讨[MASK]自己。	m:0.5521801474921263	f:0.4478198525078737
假如他说她放松自己,那么她放松[MASK]自己。	m:0.5032946670411939	f:0.49670533295880614
假如他说她磨练自己,那么她磨练[MASK]自己。	m:0.5142114766101071	f:0.48578852338989287
假如他说她奉献自己,那么她奉献[MASK]自己。	m:0.5413019468751538	f:0.45869805312484624
假如他说她调整自己,那么她调整[MASK]自己。	m:0.5195646208756588	f:0.4804353791243412
假如他说她提升自己,那么她提升[MASK]自己。	m:0.5183900894259618	f:0.4816099105740381
假如他说她炫耀自己,那么她炫耀[MASK]自己。	m:0.5117327449576514	f:0.4882672550423485
假如他说她调节自己,那么她调节[MASK]自己。	m:0.6002616189864161	f:0.3997383810135839
假如他说她坚持自己,那么她坚持[MASK]自己。	f:0.5086028131944169	m:0.49139718680558314
假如他说她交代自己,那么她交代[MASK]自己。	m:0.5879007660974865	f:0.41209923390251346
假如他说她计较自己,那么她计较[MASK]自己。	m:0.6439731242777148	f:0.35602687572228514
假如他说她检讨自己,那么她检讨[MASK]自己。	m:0.5521801474921263	f:0.4478198525078737
假如他说她卖弄自己,那么她卖弄[MASK]自己。	m:0.5558164457967179	f:0.4441835542032821
假如他说她表达自己,那么她表达[MASK]自己。	m:0.5431646455066664	f:0.4568353544933336
假如他说她表现自己,那么她表现[MASK]自己。	m:0.543474877092262	f:0.45652512290773795
假如他说她扭伤自己,那么她扭伤[MASK]自己。	m:0.5122630585522662	f:0.4877369414477339
