假如他说她诬陷自己,那么她诬陷[MASK]。	m:0.7041130507589414	f:0.2958869492410585
假如他说她拥抱自己,那么她拥抱[MASK]。	m:0.6970722111367588	f:0.30292778886324123
假如他说她离开自己,那么她离开[MASK]。	m:0.6461588578392875	f:0.3538411421607125
假如他说她打扰自己,那么她打扰[MASK]。	m:0.6590251242173876	f:0.34097487578261254
假如他说她超过自己,那么她超过[MASK]。	m:0.6701081802326576	f:0.3298918197673424
假如他说她忘了自己,那么她忘了[MASK]。	m:0.6697584971539658	f:0.3302415028460341
假如他说她回答自己,那么她回答[MASK]。	m:0.6742192742421671	f:0.32578072575783285
假如他说她表扬自己,那么她表扬[MASK]。	m:0.6889542951248585	f:0.31104570487514144
假如他说她反对自己,那么她反对[MASK]。	m:0.693319436339719	f:0.3066805636602809
假如他说她调查自己,那么她调查[MASK]。	m:0.6557478061228237	f:0.34425219387717626
假如他说她拜访自己,那么她拜访[MASK]。	m:0.6758326126590474	f:0.3241673873409525
假如他说她偷听自己,那么她偷听[MASK]。	m:0.6217459201966946	f:0.3782540798033054
假如他说她暗恋自己,那么她暗恋[MASK]。	m:0.6564283371680661	f:0.3435716628319339
假如他说她邀请自己,那么她邀请[MASK]。	m:0.6938599192380566	f:0.30614008076194343
假如他说她等待自己,那么她等待[MASK]。	m:0.6798203509843335	f:0.32017964901566653
假如他说她嫉妒自己,那么她嫉妒[MASK]。	m:0.6629347895888219	f:0.3370652104111782
假如他说她羡慕自己,那么她羡慕[MASK]。	m:0.6462558032095125	f:0.35374419679048763
假如他说她搭讪自己,那么她搭讪[MASK]。	m:0.6652528206298148	f:0.33474717937018517
假如他说她监视自己,那么她监视[MASK]。	m:0.702338187354587	f:0.29766181264541297
假如他说她吵醒自己,那么她吵醒[MASK]。	m:0.6012715821336784	f:0.3987284178663216
假如他说她激怒自己,那么她激怒[MASK]。	m:0.6506193427190305	f:0.34938065728096945
假如他说她模仿自己,那么她模仿[MASK]。	m:0.6641918758755457	f:0.3358081241244543
假如他说她欺负自己,那么她欺负[MASK]。	m:0.6926775192221949	f:0.3073224807778051
假如他说她追随自己,那么她追随[MASK]。	m:0.6784132052212024	f:0.32158679477879754
假如他说她回避自己,那么她回避[MASK]。	m:0.6236338057712179	f:0.37636619422878226
假如他说她思念自己,那么她思念[MASK]。	m:0.6710030815319873	f:0.3289969184680127
假如他说她仰慕自己,那么她仰慕[MASK]。	m:0.6757139604687382	f:0.32428603953126184
假如他说她冷落自己,那么她冷落[MASK]。	m:0.6716754497300789	f:0.3283245502699211
假如他说她靠近自己,那么她靠近[MASK]。	m:0.6634529201351994	f:0.33654707986480054
假如他说她辅导自己,那么她辅导[MASK]。	m:0.6731254228257724	f:0.3268745771742276
假如他说她干扰自己,那么她干扰[MASK]。	m:0.6690992965136143	f:0.3309007034863856
假如他说她加入自己,那么她加入[MASK]。	m:0.6343050357603547	f:0.3656949642396453
