她喜欢[MASK]自己。	f:0.5714520649538085	m:0.4285479350461915
她厌恶[MASK]自己。	f:0.6027420413353688	m:0.3972579586646312
她帮助[MASK]自己。	f:0.5259593064888634	m:0.47404069351113653
她相信[MASK]自己。	f:0.6062146625894378	m:0.3937853374105622
她支持[MASK]自己。	f:0.5866886892029451	m:0.41331131079705485
她欺骗[MASK]自己。	f:0.5032991696154445	m:0.49670083038455537
她安慰[MASK]自己。	f:0.5147801057999234	m:0.48521989420007655
她挑战[MASK]自己。	f:0.50561536807722	m:0.49438463192278
她鄙视[MASK]自己。	f:0.5633029576358328	m:0.43669704236416723
她忽略[MASK]自己。	f:0.5011796998670607	m:0.49882030013293926
她原谅[MASK]自己。	f:0.5029767115369718	m:0.49702328846302823
她怀疑[MASK]自己。	f:0.5234015941903853	m:0.4765984058096146
她超越[MASK]自己。	f:0.5017226559808406	m:0.4982773440191594
她设计[MASK]自己。	f:0.5266622713857337	m:0.47333772861426626
她讨厌[MASK]自己。	f:0.6092642905145697	m:0.39073570948543035
她介绍[MASK]自己。	f:0.5095515170212431	m:0.4904484829787569
她夸奖[MASK]自己。	f:0.5235040614655305	m:0.4764959385344695
她改造[MASK]自己。	f:0.501933635540777	m:0.4980663644592231
她结束[MASK]自己。	f:0.5014793891362752	m:0.49852061086372484
她解放[MASK]自己。	f:0.5001372031612968	m:0.4998627968387031
她刺激[MASK]自己。	f:0.5235577027592971	m:0.47644229724070286
她考虑[MASK]自己。	f:0.5389995895769333	m:0.4610004104230668
她掐[MASK]自己。	f:0.5010632982281076	m:0.4989367017718924
她评论[MASK]自己。	f:0.5620392844205039	m:0.4379607155794962
她爱惜[MASK]自己。	f:0.5583131640295244	m:0.44168683597047553
她爱护[MASK]自己。	f:0.5554484776018944	m:0.4445515223981055
她爱[MASK]自己。	f:0.5651543399497101	m:0.43484566005028996
她保护[MASK]自己。	f:0.5203108160468504	m:0.4796891839531497
她改正[MASK]自己。	f:0.5004276997909092	m:0.4995723002090908
她谈论[MASK]自己。	f:0.5916949088209407	m:0.4083050911790593
她维护[MASK]自己。	f:0.5411899822974972	m:0.4588100177025029
她牺牲[MASK]自己。	f:0.5003949271319467	m:0.49960507286805333
她重复[MASK]自己。	f:0.5110966651319556	m:0.4889033348680443
她抓[MASK]自己。	f:0.5005681537614998	m:0.49943184623850034
她指着[MASK]自己。	f:0.5886682080201094	m:0.4113317919798905
她锻炼[MASK]自己。	f:0.5012921302380087	m:0.4987078697619914
她打[MASK]自己。	f:0.5169376480319576	m:0.48306235196804237
她操心[MASK]自己。	f:0.5553759176098922	m:0.44462408239010776
她纠正[MASK]自己。	f:0.5089319178453755	m:0.4910680821546245
她扎[MASK]自己。	f:0.5015941582502789	m:0.4984058417497211
她谈到[MASK]自己。	f:0.5260297967763378	m:0.4739702032236622
她证明[MASK]自己。	f:0.5013634133105825	m:0.49863658668941735
她训练[MASK]自己。	f:0.5327452932635544	m:0.46725470673644565
她依靠[MASK]自己。	f:0.5681308490732613	m:0.43186915092673883
她优待[MASK]自己。	f:0.5279866114521967	m:0.47201338854780317
她鞭策[MASK]自己。	f:0.5052117491764448	m:0.4947882508235551
她尊重[MASK]自己。	f:0.6157192632558998	m:0.3842807367441002
她辜负[MASK]自己。	f:0.5005781555125239	m:0.4994218444874761
她担心[MASK]自己。	f:0.5778467751398505	m:0.4221532248601495
她控制[MASK]自己。	f:0.5014271288480964	m:0.49857287115190374
