他知道我经常批评[MASK]自己。	w:0.45121549629268065	m:0.31364032253545543	f:0.23514418117186386
她知道我经常批评[MASK]自己。	w:0.4312546419490942	f:0.32855498339517525	m:0.24019037465573057
他认为她知道我把[MASK]自己的书送给了自己的朋友。	f:0.3899190120746051	w:0.3397626009310782	m:0.2703183869943168
她认为他知道我把[MASK]自己的书送给了自己的朋友。	w:0.36986293599842135	m:0.35737959908640704	f:0.2727574649151716
他担心我会批评[MASK]自己。	m:0.4987187016893842	w:0.2642806443993713	f:0.23700065391124442
她担心我会批评[MASK]自己。	f:0.483281961387479	w:0.2781368651140489	m:0.23858117349847222
他知道我害了[MASK]自己。	m:0.556590352845845	f:0.2218683022378792	w:0.22154134491627572
她知道我害了[MASK]自己。	f:0.5585741868378016	m:0.22198419693012714	w:0.2194416162320713
他觉得我对[MASK]自己没信心。	w:0.46982268834809743	m:0.2904171258719384	f:0.23976018577996427
她觉得我对[MASK]自己没信心。	w:0.4577600561108873	f:0.30228235221487726	m:0.23995759167423542
他认为我的骄傲害了[MASK]自己。	w:0.4413438518186979	m:0.3260398658902423	f:0.23261628229105982
她认为我的骄傲害了[MASK]自己。	w:0.38216527514093973	f:0.37815327538714616	m:0.23968144947191414
她知道我告诉过她有关[MASK]自己的工作。	w:0.4261222763667689	f:0.30396578687493453	m:0.26991193675829667
他知道我告诉过他有关[MASK]自己的工作。	w:0.44074325232962874	m:0.298506495360613	f:0.2607502523097582
他说我跟他谈过[MASK]自己的事。	w:0.4539487312463847	m:0.2995706338046321	f:0.24648063494898312
她说我跟她谈过[MASK]自己的事。	w:0.4148533460020333	f:0.3003062036286255	m:0.2848404503693412
她认为我从她那里听说了[MASK]自己的分数。	f:0.4544107888539221	w:0.3088659972187523	m:0.2367232139273257
他认为我从他那里听说了[MASK]自己的分数。	m:0.4491851526682428	w:0.3174720104804081	f:0.23334283685134907
他知道我在他家洗[MASK]自己的照片。	m:0.337218731456872	w:0.33607023174476613	f:0.32671103679836194
她知道我在她家洗[MASK]自己的照片。	f:0.35398933582999226	w:0.3253709808781891	m:0.3206396832918185
当时他怕我再去找[MASK]自己的麻烦就给了我钱。	m:0.45012309638985076	w:0.28288189536784664	f:0.2669950082423026
当时她怕我再去找[MASK]自己的麻烦就给了我钱。	f:0.46018578333901794	w:0.27457400818666694	m:0.2652402084743151
她知道我的报告害了[MASK]自己。	f:0.5325192719077209	w:0.2451441591594931	m:0.222336568932786
他知道我的报告害了[MASK]自己。	m:0.5257252900022874	w:0.25204875627447365	f:0.22222595372323894
他的话暗示我的信害了[MASK]自己。	w:0.5312157300248511	m:0.24620585443490403	f:0.22257841554024485
她的话暗示我的信害了[MASK]自己。	w:0.5250747515161932	f:0.2480094285501684	m:0.2269158199336385
她认为我恨[MASK]自己。	f:0.3994826801277462	w:0.3537596101965541	m:0.24675770967569974
他认为我恨[MASK]自己。	m:0.395699598668704	w:0.3571866124414764	f:0.24711378888981966
他说我喜欢[MASK]自己。	w:0.4499387876722425	m:0.2890739334300996	f:0.26098727889765794
她说我喜欢[MASK]自己。	w:0.4296403158776341	f:0.3103064861077936	m:0.2600531980145724
他不喜欢我管[MASK]自己的事。	m:0.5170122030198	w:0.24996607869098492	f:0.23302171828921514
她不喜欢我管[MASK]自己的事。	f:0.5239374864430834	w:0.24059807774248693	m:0.23546443581442972
他告诉别人我觉得[MASK]自己明年可以考进好大学。	w:0.4105561959039305	m:0.33857437750317376	f:0.2508694265928957
他说我批评了[MASK]自己。	w:0.388081380610434	m:0.3679418915008347	f:0.24397672788873137
她说我批评了[MASK]自己。	f:0.37788872820192315	w:0.37510208915664983	m:0.247009182641427
她觉得我在批评[MASK]自己。	f:0.3926747495063212	w:0.3665117094838889	m:0.24081354100978997
他觉得我在批评[MASK]自己。	m:0.40251376493804414	w:0.36274010578116306	f:0.23474612928079266
她认为我知道[MASK]自己的太太是一个好人。	w:0.42563216822172123	f:0.2957029596112362	m:0.2786648721670425
他认为我知道[MASK]自己的太太是一个好人。	m:0.40183295704999566	w:0.3416254816110416	f:0.2565415613389628
他觉得我不喜欢[MASK]自己。	w:0.4015017054228921	m:0.34426564674464877	f:0.2542326478324592
她觉得我不喜欢[MASK]自己。	w:0.3957479993227283	f:0.343559921598126	m:0.26069207907914566
