她知道他经常批评[MASK]自己。	f:0.6562824529009766	m:0.34371754709902336
她知道他把[MASK]自己的书送给了朋友。	f:0.6088775316125323	m:0.3911224683874677
她担心他会批评[MASK]自己。	f:0.694044206426092	m:0.30595579357390795
她知道他害了[MASK]自己。	f:0.6998373695171204	m:0.3001626304828796
她觉得他对[MASK]自己没信心。	f:0.628700069756693	m:0.37129993024330693
她认为他的骄傲害了[MASK]自己。	f:0.5539204601522986	m:0.4460795398477014
她知道他告诉过她有关[MASK]自己的工作。	m:0.5427830114633162	f:0.4572169885366838
她说他跟她谈过[MASK]自己的事。	m:0.5875960714090397	f:0.4124039285909603
她认为他从她那里听说了[MASK]自己的分数。	f:0.5325901926800011	m:0.46740980731999887
她知道他在她家洗[MASK]自己的照片。	f:0.516578202499692	m:0.483421797500308
她不喜欢他管[MASK]自己的事。	f:0.6178054715729786	m:0.3821945284270213
她知道他的报告害了[MASK]自己。	f:0.6896876613267633	m:0.31031233867323677
她的话暗示他的信害了[MASK]自己。	m:0.5584230607885058	f:0.4415769392114942
她认为他恨[MASK]自己。	f:0.6161926316878521	m:0.38380736831214785
她说他喜欢[MASK]自己。	f:0.5841722696917918	m:0.41582773030820824
她告诉别人他觉得[MASK]自己明年可以考进好大学。	f:0.552335329826501	m:0.4476646701734989
她说他批评了[MASK]自己。	f:0.6043489842734927	m:0.3956510157265072
她觉得他在批评[MASK]自己。	f:0.6277078077049282	m:0.37229219229507177
她认为他知道[MASK]自己的朋友是一个好人。	m:0.5072710528884758	f:0.4927289471115241
她觉得他不喜欢[MASK]自己。	f:0.6415870311031551	m:0.35841296889684493
