假如她说他诬陷自己,那么他诬陷[MASK]。	f:0.7041024411016866	m:0.29589755889831343
假如她说他拥抱自己,那么他拥抱[MASK]。	f:0.7033721936607598	m:0.29662780633924035
假如她说他离开自己,那么他离开[MASK]。	f:0.6543313860890704	m:0.34566861391092957
假如她说他打扰自己,那么他打扰[MASK]。	f:0.6776836138173697	m:0.3223163861826303
假如她说他超过自己,那么他超过[MASK]。	f:0.6844138804410822	m:0.31558611955891774
假如她说他忘了自己,那么他忘了[MASK]。	f:0.6879104166458311	m:0.31208958335416903
假如她说他回答自己,那么他回答[MASK]。	f:0.6880571304855018	m:0.3119428695144983
假如她说他表扬自己,那么他表扬[MASK]。	f:0.7091939319436513	m:0.29080606805634873
假如她说他反对自己,那么他反对[MASK]。	f:0.684504367091595	m:0.31549563290840504
假如她说他调查自己,那么他调查[MASK]。	f:0.6534345718477823	m:0.34656542815221775
假如她说他拜访自己,那么他拜访[MASK]。	f:0.6814522711356288	m:0.3185477288643711
假如她说他偷听自己,那么他偷听[MASK]。	f:0.6468611120574624	m:0.35313888794253756
假如她说他暗恋自己,那么他暗恋[MASK]。	f:0.6582765556415111	m:0.3417234443584889
假如她说他邀请自己,那么他邀请[MASK]。	f:0.7000714701767026	m:0.2999285298232975
假如她说他等待自己,那么他等待[MASK]。	f:0.7008273358243983	m:0.29917266417560184
假如她说他嫉妒自己,那么他嫉妒[MASK]。	f:0.6553129844416937	m:0.34468701555830633
假如她说他羡慕自己,那么他羡慕[MASK]。	f:0.647724009835564	m:0.3522759901644361
假如她说他搭讪自己,那么他搭讪[MASK]。	f:0.6958000837050689	m:0.30419991629493115
假如她说他监视自己,那么他监视[MASK]。	f:0.7077886645714674	m:0.29221133542853267
假如她说他吵醒自己,那么他吵醒[MASK]。	f:0.6281491358405934	m:0.3718508641594066
假如她说他激怒自己,那么他激怒[MASK]。	f:0.6669838765957855	m:0.33301612340421444
假如她说他模仿自己,那么他模仿[MASK]。	f:0.6840393349613212	m:0.3159606650386788
假如她说他欺负自己,那么他欺负[MASK]。	f:0.7020273205502309	m:0.29797267944976913
假如她说他追随自己,那么他追随[MASK]。	f:0.6794791949996285	m:0.32052080500037144
假如她说他回避自己,那么他回避[MASK]。	f:0.6532150916432742	m:0.3467849083567258
假如她说他思念自己,那么他思念[MASK]。	f:0.6998078128255014	m:0.3001921871744985
假如她说他仰慕自己,那么他仰慕[MASK]。	f:0.6683132128199991	m:0.3316867871800009
假如她说他冷落自己,那么他冷落[MASK]。	f:0.7043703513778262	m:0.29562964862217384
假如她说他靠近自己,那么他靠近[MASK]。	f:0.6737801386964349	m:0.3262198613035651
假如她说他辅导自己,那么他辅导[MASK]。	f:0.6774861277221714	m:0.3225138722778286
假如她说他干扰自己,那么他干扰[MASK]。	f:0.6786762294803572	m:0.32132377051964267
