假如她说他反思自己,那么他反思[MASK]自己。	f:0.5255667573267782	m:0.4744332426732219
假如她说他反省自己,那么他反省[MASK]自己。	f:0.519282119494109	m:0.480717880505891
假如她说他坦白自己,那么他坦白[MASK]自己。	f:0.5446661543790796	m:0.45533384562092044
假如她说他迷失自己,那么他迷失[MASK]自己。	f:0.5002557786424114	m:0.4997442213575886
假如她说他克制自己,那么他克制[MASK]自己。	f:0.5328441646853578	m:0.4671558353146423
假如她说他检讨自己,那么他检讨[MASK]自己。	f:0.5545576128084744	m:0.4454423871915256
假如她说他放松自己,那么他放松[MASK]自己。	f:0.5029916955759638	m:0.4970083044240361
假如她说他磨练自己,那么他磨练[MASK]自己。	f:0.5233333323800718	m:0.4766666676199282
假如她说他奉献自己,那么他奉献[MASK]自己。	f:0.5431722180312786	m:0.45682778196872137
假如她说他调整自己,那么他调整[MASK]自己。	f:0.5171712696597962	m:0.48282873034020385
假如她说他提升自己,那么他提升[MASK]自己。	f:0.5283541474739072	m:0.4716458525260928
假如她说他炫耀自己,那么他炫耀[MASK]自己。	f:0.5462754447332865	m:0.45372455526671346
假如她说他调节自己,那么他调节[MASK]自己。	f:0.6075873990099102	m:0.3924126009900898
假如她说他坚持自己,那么他坚持[MASK]自己。	f:0.5735091055473718	m:0.42649089445262817
假如她说他交代自己,那么他交代[MASK]自己。	f:0.6268610076473364	m:0.37313899235266357
假如她说他计较自己,那么他计较[MASK]自己。	f:0.6619574364109501	m:0.33804256358905005
假如她说他检讨自己,那么他检讨[MASK]自己。	f:0.5545576128084744	m:0.4454423871915256
假如她说他卖弄自己,那么他卖弄[MASK]自己。	f:0.5703230042106769	m:0.42967699578932306
假如她说他表达自己,那么他表达[MASK]自己。	f:0.5677066570879526	m:0.4322933429120473
假如她说他表现自己,那么他表现[MASK]自己。	f:0.5581671966580206	m:0.4418328033419794
假如她说他扭伤自己,那么他扭伤[MASK]自己。	f:0.5260719138879592	m:0.47392808611204085
