他喜欢[MASK]自己。	m:0.574911477361165	f:0.42508852263883495
他厌恶[MASK]自己。	m:0.6563444791665358	f:0.3436555208334641
他帮助[MASK]自己。	m:0.522020996756237	f:0.47797900324376297
他相信[MASK]自己。	m:0.6314387240638732	f:0.3685612759361268
他支持[MASK]自己。	m:0.5805727221938222	f:0.4194272778061778
他欺骗[MASK]自己。	m:0.5073486797829964	f:0.4926513202170037
他安慰[MASK]自己。	m:0.5065390620468896	f:0.49346093795311036
他挑战[MASK]自己。	m:0.5076250293936615	f:0.4923749706063384
他鄙视[MASK]自己。	m:0.6025557517082816	f:0.3974442482917185
他忽略[MASK]自己。	m:0.5037802114714158	f:0.4962197885285843
他原谅[MASK]自己。	m:0.5039555356068848	f:0.4960444643931153
他怀疑[MASK]自己。	m:0.5449844535089072	f:0.4550155464910927
他超越[MASK]自己。	m:0.5024610656135606	f:0.4975389343864394
他设计[MASK]自己。	m:0.52342712443738	f:0.47657287556262
他讨厌[MASK]自己。	m:0.6408165297926149	f:0.3591834702073851
他介绍[MASK]自己。	m:0.5051863663960762	f:0.4948136336039238
他夸奖[MASK]自己。	m:0.5271424257199456	f:0.4728575742800544
他改造[MASK]自己。	m:0.5035115439447606	f:0.4964884560552395
他结束[MASK]自己。	m:0.5025486661917907	f:0.4974513338082093
他解放[MASK]自己。	m:0.5002904510830178	f:0.49970954891698216
他刺激[MASK]自己。	m:0.5273396525093748	f:0.4726603474906253
他考虑[MASK]自己。	m:0.5534223654588157	f:0.4465776345411842
他掐[MASK]自己。	m:0.5015041292674108	f:0.49849587073258916
他评论[MASK]自己。	m:0.564265098179811	f:0.4357349018201889
他爱惜[MASK]自己。	m:0.5481399116267146	f:0.45186008837328545
他爱护[MASK]自己。	m:0.5497662295113988	f:0.45023377048860125
他爱[MASK]自己。	m:0.5575564810289372	f:0.4424435189710628
他保护[MASK]自己。	m:0.5126205971296941	f:0.48737940287030596
他改正[MASK]自己。	m:0.500481463910894	f:0.49951853608910607
他谈论[MASK]自己。	m:0.6101235979850873	f:0.38987640201491264
他维护[MASK]自己。	m:0.5591882620049559	f:0.44081173799504414
他牺牲[MASK]自己。	m:0.5004903847685619	f:0.4995096152314381
他重复[MASK]自己。	m:0.5259662595716228	f:0.47403374042837715
他抓[MASK]自己。	m:0.5008513363640564	f:0.49914866363594357
他指着[MASK]自己。	m:0.621863412012484	f:0.378136587987516
他锻炼[MASK]自己。	m:0.5017936786715774	f:0.49820632132842263
他打[MASK]自己。	m:0.5192794236047027	f:0.4807205763952973
他操心[MASK]自己。	m:0.5562091389996822	f:0.44379086100031784
他纠正[MASK]自己。	m:0.5102389203053982	f:0.48976107969460175
他扎[MASK]自己。	m:0.5020046438711473	f:0.49799535612885265
他谈到[MASK]自己。	m:0.5298111572117618	f:0.47018884278823825
他证明[MASK]自己。	m:0.501254395154654	f:0.498745604845346
他训练[MASK]自己。	m:0.5329168068362601	f:0.46708319316374
他依靠[MASK]自己。	m:0.5944482564391436	f:0.4055517435608563
他优待[MASK]自己。	m:0.5377829780987587	f:0.46221702190124125
他鞭策[MASK]自己。	m:0.5109065056920281	f:0.48909349430797194
他尊重[MASK]自己。	m:0.6471506040135528	f:0.35284939598644727
他辜负[MASK]自己。	m:0.5015118089271627	f:0.4984881910728372
他担心[MASK]自己。	m:0.5817220622320382	f:0.4182779377679618
他控制[MASK]自己。	m:0.5013089375063491	f:0.49869106249365097
