他知道她经常批评[MASK]自己。	m:0.6905240719862121	f:0.3094759280137878
他知道她把[MASK]自己的书送给了朋友。	m:0.5773432213861042	f:0.42265677861389583
他担心她会批评[MASK]自己。	m:0.7132890300755699	f:0.28671096992443007
他知道她害了[MASK]自己。	m:0.7095780632314814	f:0.2904219367685187
他觉得她对[MASK]自己没信心。	m:0.5334604737159884	f:0.46653952628401163
他认为她的骄傲害了[MASK]自己。	m:0.6026585597572987	f:0.39734144024270135
他知道她告诉过他有关[MASK]自己的工作。	f:0.5466034522042494	m:0.4533965477957505
他说她跟他谈过[MASK]自己的事。	f:0.6097954214632211	m:0.390204578536779
他认为她从他那里听说了[MASK]自己的分数。	f:0.5465445789146869	m:0.45345542108531306
他知道她在他家洗[MASK]自己的照片。	f:0.5031511142885076	m:0.4968488857114924
他不喜欢她管[MASK]自己的事。	m:0.6549705110110257	f:0.3450294889889743
他知道她的报告害了[MASK]自己。	m:0.70278635000725	f:0.29721364999274996
他的话暗示她的信害了[MASK]自己。	f:0.5986870672371325	m:0.40131293276286745
他认为她恨[MASK]自己。	m:0.6558116647268686	f:0.3441883352731313
他说她喜欢[MASK]自己。	m:0.5392278820666776	f:0.4607721179333224
他告诉别人她觉得[MASK]自己明年可以考进好大学。	f:0.5636175587102905	m:0.43638244128970943
他说她批评了[MASK]自己。	m:0.6455715283426103	f:0.3544284716573897
他觉得她在批评[MASK]自己。	m:0.690668049874043	f:0.3093319501259571
他认为她知道[MASK]自己的朋友是一个好人。	f:0.535349868402384	m:0.46465013159761603
他觉得她不喜欢[MASK]自己。	m:0.6729364911030594	f:0.32706350889694064
