假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	f:0.4786045957108185	m:0.2671073769209549	t:0.25428802736822653
假如他说这本书改变了自己,那么这本书改变了[MASK]。	m:0.49073260306128813	t:0.2548550586571678	f:0.25441233828154414
假如他说这本书影响了自己,那么这本书影响了[MASK]。	m:0.47561785382658084	f:0.2625820864798296	t:0.2618000596935895
假如他说这本书吸引了自己,那么这本书吸引了[MASK]。	m:0.47623155732241057	f:0.2643961971791809	t:0.2593722454984085
假如她说这本书启发了自己,那么这本书启发了[MASK]。	f:0.47892138264404127	m:0.2659846272233556	t:0.25509399013260303
假如他说这本书激励了自己,那么这本书激励了[MASK]。	m:0.4590332602321899	f:0.27126513417334874	t:0.2697016055944613
假如她说这本书刺激了自己,那么这本书刺激了[MASK]。	f:0.4705250865251177	m:0.2731781939755708	t:0.25629671949931143
假如他说这本书困扰了自己,那么这本书困扰了[MASK]。	m:0.4686669366098456	f:0.26646530590033235	t:0.2648677574898221
假如他说这本书鼓舞了自己,那么这本书鼓舞了[MASK]。	m:0.472606510939063	f:0.26427986489834066	t:0.2631136241625964
假如他说这本书鞭策了自己,那么这本书鞭策了[MASK]。	m:0.4482843430136618	t:0.2758800283128797	f:0.2758356286734584
假如他说这本书感动了自己,那么这本书感动了[MASK]。	m:0.4628855713456618	f:0.269759744543118	t:0.26735468411122026
假如他说这本书迷惑了自己,那么这本书迷惑了[MASK]。	m:0.4944393228642081	f:0.2533008876680328	t:0.25225978946775907
假如她说这本书提醒了自己,那么这本书提醒了[MASK]。	f:0.455249058948785	m:0.27925052511966253	t:0.2655004159315525
假如他说这封信伤害了自己,那么这封信伤害了[MASK]。	m:0.4691231459717673	f:0.2693187489191092	t:0.2615581051091236
假如她说这封信改变了自己,那么这封信改变了[MASK]。	f:0.5033623982987296	m:0.25356162516439446	t:0.2430759765368759
假如她说这封信影响了自己,那么这封信影响了[MASK]。	f:0.47825189499135046	m:0.26818975369365233	t:0.25355835131499727
假如她说这封信吸引了自己,那么这封信吸引了[MASK]。	f:0.45910000370281745	m:0.28236435493536793	t:0.2585356413618145
假如她说这封信启发了自己,那么这封信启发了[MASK]。	f:0.47190072735618355	m:0.2713098304431075	t:0.2567894422007088
假如他说这封信激励了自己,那么这封信激励了[MASK]。	m:0.464220625002867	f:0.26981457013754423	t:0.2659648048595889
