假如他告诉她一个关于自己的秘密， 那么秘密是关于[MASK]的。	f:0.5244504616310517	m:0.4755495383689483
假如他寄给她一封关于自己的信， 那么信是关于[MASK]的。	f:0.5569682688940505	m:0.4430317311059494
假如他送给她一本关于自己的书， 那么书是关于[MASK]的。	f:0.5108843384493013	m:0.48911566155069874
假如他描述给她一个关于自己的梦， 那么梦是关于[MASK]的。	f:0.5047208605009985	m:0.49527913949900154
假如他解释给她一个关于自己的决定， 那么决定是关于[MASK]的。	f:0.5258283658775835	m:0.47417163412241653
假如他展示给她一幅关于自己的画， 那么画是关于[MASK]的。	m:0.5280003100430505	f:0.4719996899569494
假如他讲述给她一个关于自己的故事， 那么故事是关于[MASK]的。	f:0.5524947904116048	m:0.4475052095883953
假如他编写给她一首关于自己的诗， 那么诗是关于[MASK]的。	f:0.5452243661693286	m:0.45477563383067143
假如他演示给她一个关于自己的技巧， 那么技巧是关于[MASK]的。	f:0.5449361555760366	m:0.45506384442396336
假如他描述给她一场关于自己的经历， 那么经历是关于[MASK]的。	f:0.5334898457666876	m:0.4665101542333125
假如他回忆给她一段关于自己的往事， 那么往事是关于[MASK]的。	f:0.5442516755534196	m:0.45574832444658037
假如他给她看了一张关于自己的照片， 那么照片是关于[MASK]的。	f:0.5276335316885337	m:0.4723664683114663
假如他发给她一条关于自己的消息， 那么消息是关于[MASK]的。	f:0.5412930542217143	m:0.4587069457782857
假如他写给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.553947297848358	m:0.44605270215164206
假如他展示给她一张关于自己的地图， 那么地图是关于[MASK]的。	f:0.5190735097725028	m:0.48092649022749717
假如他讲给她一个关于自己的笑话， 那么笑话是关于[MASK]的。	f:0.5260914723146802	m:0.47390852768531966
假如他传给她一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5065303531075048	m:0.4934696468924951
假如他绘制给她一幅关于自己的草图， 那么草图是关于[MASK]的。	f:0.5129523350578006	m:0.4870476649421994
假如他提供给她一项关于自己的建议， 那么建议是关于[MASK]的。	f:0.5330353838369792	m:0.4669646161630207
假如他演唱给她一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	f:0.5347746873776452	m:0.4652253126223548
假如他设计给她一个关于自己的项目， 那么项目是关于[MASK]的。	f:0.5123574001866781	m:0.487642599813322
假如他讲述给她一段关于自己的历史， 那么历史是关于[MASK]的。	f:0.5261779304118259	m:0.47382206958817413
假如他推荐给她一本关于自己的传记， 那么传记是关于[MASK]的。	f:0.5308249370689959	m:0.46917506293100414
假如他解释给她一个关于自己的观点， 那么观点是关于[MASK]的。	f:0.5376053795346072	m:0.4623946204653928
假如他分享给她一篇关于自己的论文， 那么论文是关于[MASK]的。	f:0.5112123688183985	m:0.48878763118160157
假如他报告给她一项关于自己的研究， 那么研究是关于[MASK]的。	f:0.5006986926418615	m:0.49930130735813855
假如他送给她一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	f:0.5125562146581282	m:0.4874437853418717
假如他展示给她一份关于自己的简历， 那么简历是关于[MASK]的。	m:0.5180542992400713	f:0.48194570075992865
假如他描绘给她一幅关于自己的肖像， 那么肖像是关于[MASK]的。	f:0.5021304359253578	m:0.4978695640746423
假如他讨论给她一个关于自己的话题， 那么话题是关于[MASK]的。	f:0.5228579977695145	m:0.47714200223048553
假如他汇报给她一项关于自己的成就， 那么成就是关于[MASK]的。	f:0.5174801012047433	m:0.4825198987952567
假如他寄给她一件关于自己的物品， 那么物品是关于[MASK]的。	f:0.5111503365193963	m:0.4888496634806036
假如他翻译给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5408387189004824	m:0.4591612810995176
假如他编排给她一个关于自己的节目， 那么节目是关于[MASK]的。	f:0.5120321524265907	m:0.4879678475734092
假如他演示给她一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	f:0.522599019123417	m:0.47740098087658306
假如他朗读给她一封关于自己的信件， 那么信件是关于[MASK]的。	f:0.5387449688024871	m:0.4612550311975128
假如他发布给她一条关于自己的公告， 那么公告是关于[MASK]的。	f:0.5452101558786334	m:0.4547898441213666
假如他策划给她一个关于自己的活动， 那么活动是关于[MASK]的。	f:0.5489695322537975	m:0.45103046774620253
假如他陈述给她一份关于自己的声明， 那么声明是关于[MASK]的。	f:0.5242883950750954	m:0.4757116049249046
假如他发送给她一条关于自己的通知， 那么通知是关于[MASK]的。	f:0.555512903837363	m:0.44448709616263704
