如果他告诉她一个关于自己的秘密， 那么秘密是关于	f:0.5008833936420586	m:0.49911660635794153
如果他寄给她一封关于自己的信， 那么信是关于	f:0.49905250765641584	m:0.5009474923435842
如果他送给她一本关于自己的书， 那么书是关于	f:0.49994623899713386	m:0.5000537610028661
如果他描述给她一个关于自己的梦， 那么梦是关于	f:0.49983760738385014	m:0.5001623926161499
如果他解释给她一个关于自己的决定， 那么决定是关于	f:0.49976507995143615	m:0.5002349200485638
如果他展示给她一幅关于自己的画， 那么画是关于	f:0.4996134953877529	m:0.500386504612247
如果他讲述给她一个关于自己的故事， 那么故事是关于	f:0.5002094905235225	m:0.49979050947647763
如果他编写给她一首关于自己的诗， 那么诗是关于	f:0.4996686090501982	m:0.5003313909498017
如果他演示给她一个关于自己的技巧， 那么技巧是关于	f:0.5002723665696786	m:0.4997276334303215
如果他描述给她一场关于自己的经历， 那么经历是关于	f:0.501673037403377	m:0.498326962596623
如果他回忆给她一段关于自己的往事， 那么往事是关于	f:0.5003157989284126	m:0.4996842010715874
如果他给她看了一张关于自己的照片， 那么照片是关于	f:0.4993550765877855	m:0.5006449234122144
如果他发给她一条关于自己的消息， 那么消息是关于	f:0.49977057917722284	m:0.5002294208227771
如果他写给她一篇关于自己的文章， 那么文章是关于	f:0.5002494264419972	m:0.49975057355800273
如果他展示给她一张关于自己的地图， 那么地图是关于	f:0.4998549499182209	m:0.5001450500817791
如果他讲给她一个关于自己的笑话， 那么笑话是关于	f:0.5002409965777408	m:0.49975900342225915
如果他传给她一个关于自己的文件， 那么文件是关于	f:0.5000820446577475	m:0.4999179553422524
如果他绘制给她一幅关于自己的草图， 那么草图是关于	f:0.49979911745675426	m:0.5002008825432457
如果他提供给她一项关于自己的建议， 那么建议是关于	f:0.4999377221396154	m:0.5000622778603846
如果他演唱给她一首关于自己的歌曲， 那么歌曲是关于	f:0.49974131691249307	m:0.5002586830875069
如果他设计给她一个关于自己的项目， 那么项目是关于	f:0.5002546852117861	m:0.49974531478821393
如果他讲述给她一段关于自己的历史， 那么历史是关于	f:0.5008240532585103	m:0.49917594674148974
如果他推荐给她一本关于自己的传记， 那么传记是关于	f:0.49978000456722765	m:0.5002199954327724
如果他解释给她一个关于自己的观点， 那么观点是关于	f:0.5003130485593145	m:0.49968695144068564
如果他分享给她一篇关于自己的论文， 那么论文是关于	f:0.5006227665270754	m:0.4993772334729246
如果他报告给她一项关于自己的研究， 那么研究是关于	f:0.4998431249456733	m:0.5001568750543267
如果他送给她一个关于自己的纪念品， 那么纪念品是关于	f:0.49965630503313097	m:0.500343694966869
如果他展示给她一份关于自己的简历， 那么简历是关于	f:0.4999869408784464	m:0.5000130591215536
如果他描绘给她一幅关于自己的肖像， 那么肖像是关于	f:0.4998452361955372	m:0.5001547638044628
如果他讨论给她一个关于自己的话题， 那么话题是关于	f:0.5012380319259475	m:0.49876196807405243
如果他汇报给她一项关于自己的成就， 那么成就是关于	f:0.4997681975530756	m:0.5002318024469244
如果他寄给她一件关于自己的物品， 那么物品是关于	f:0.49962675179652355	m:0.5003732482034765
如果他翻译给她一篇关于自己的文章， 那么文章是关于	f:0.5008609837025932	m:0.49913901629740676
如果他编排给她一个关于自己的节目， 那么节目是关于	f:0.499315226762281	m:0.500684773237719
如果他演示给她一段关于自己的舞蹈， 那么舞蹈是关于	f:0.49955632694767227	m:0.5004436730523277
如果他朗读给她一封关于自己的信件， 那么信件是关于	f:0.49942180790401014	m:0.5005781920959899
如果他发布给她一条关于自己的公告， 那么公告是关于	f:0.49953299559030206	m:0.5004670044096979
如果他策划给她一个关于自己的活动， 那么活动是关于	f:0.4996058919584718	m:0.5003941080415282
如果他陈述给她一份关于自己的声明， 那么声明是关于	f:0.4999889249447751	m:0.5000110750552248
如果他发送给她一条关于自己的通知， 那么通知是关于	f:0.4996794973560692	m:0.5003205026439308
