如果他知道她经常批评自己,那么道她经常批评	f:0.5169496538783502	m:0.4830503461216498
如果他知道她把自己的书送给了朋友,那么道她把自己的书送给了	f:0.5075925007083848	m:0.4924074992916152
如果他担心她会批评自己,那么心她会批评	f:0.5158616608519736	m:0.48413833914802634
如果他知道她害了自己,那么道她害了	f:0.5060224083786997	m:0.49397759162130034
如果他觉得她对自己没信心,那么得她对自己没	f:0.502167156830575	m:0.4978328431694251
如果他认为她的骄傲害了自己,那么为她的骄傲害了	f:0.501179777341026	m:0.4988202226589739
如果他知道她告诉过他有关自己的工作,那么道她告诉过他有关自己的	f:0.5022386020877655	m:0.4977613979122346
如果他说她跟他谈过自己的事,那么她跟他谈过自己	f:0.5028940788899436	m:0.4971059211100563
如果他认为她从他那里听说了自己的分数,那么为她从他那里听说了自己的	f:0.49974049234299	m:0.50025950765701
如果他知道她在他家洗自己的照片,那么道她在他家洗自己的	f:0.5004125086935297	m:0.49958749130647034
如果他不喜欢她管自己的事,那么喜欢她管自己	f:0.49888911909670375	m:0.5011108809032963
如果他知道她的报告害了自己,那么道她的报告害了	f:0.5008422600986274	m:0.4991577399013725
如果他的话暗示她的信害了自己,那么话暗示她的信害了	f:0.5019000473473723	m:0.49809995265262774
如果他认为她恨自己,那么为她恨	f:0.5017514735765424	m:0.49824852642345757
如果他说她喜欢自己,那么她喜欢	f:0.5043851038438258	m:0.4956148961561742
如果他告诉别人她觉得自己明年可以考进好大学,那么诉别人她觉得自己明年可以考进好	f:0.5049158393345721	m:0.4950841606654279
如果他说她批评了自己,那么她批评了	f:0.516240033232817	m:0.48375996676718297
如果他觉得她在批评自己,那么得她在批评	f:0.50953627042488	m:0.4904637295751199
如果他认为她知道自己的朋友是一个好人,那么为她知道自己的朋友是一个	f:0.4999575552648022	m:0.5000424447351979
如果他觉得她不喜欢自己,那么得她不喜欢	f:0.5014023029264991	m:0.49859769707350093
