如果她说他诬陷自己,那么他诬陷	f:0.49930747922089497	m:0.5006925207791051
如果她说他拥抱自己,那么他拥抱	f:0.49975906151349125	m:0.5002409384865087
如果她说他离开自己,那么他离开	f:0.5005132217718916	m:0.49948677822810844
如果她说他打扰自己,那么他打扰	f:0.498224407215061	m:0.501775592784939
如果她说他超过自己,那么他超过	f:0.5005394964480733	m:0.49946050355192684
如果她说他忘了自己,那么他忘了	f:0.5038856724324663	m:0.49611432756753376
如果她说他回答自己,那么他回答	f:0.5017541514452806	m:0.4982458485547194
如果她说他表扬自己,那么他表扬	f:0.501859852615385	m:0.4981401473846151
如果她说他反对自己,那么他反对	f:0.5061844743994028	m:0.49381552560059716
如果她说他调查自己,那么他调查	f:0.49850336071053514	m:0.5014966392894649
如果她说他拜访自己,那么他拜访	f:0.5006250235256132	m:0.49937497647438683
如果她说他偷听自己,那么他偷听	f:0.501675420689331	m:0.49832457931066904
如果她说他暗恋自己,那么他暗恋	f:0.5000344268045775	m:0.49996557319542245
如果她说他邀请自己,那么他邀请	f:0.5056876977299519	m:0.494312302270048
如果她说他等待自己,那么他等待	f:0.4991976902721228	m:0.5008023097278772
如果她说他嫉妒自己,那么他嫉妒	f:0.5003715917016774	m:0.4996284082983226
如果她说他羡慕自己,那么他羡慕	f:0.4996116821037888	m:0.5003883178962112
如果她说他搭讪自己,那么他搭讪	f:0.49937151638362826	m:0.5006284836163718
如果她说他监视自己,那么他监视	f:0.5010093208662546	m:0.4989906791337454
如果她说他吵醒自己,那么他吵醒	f:0.49772416835259764	m:0.5022758316474023
如果她说他激怒自己,那么他激怒	f:0.5002020507708106	m:0.49979794922918935
如果她说他模仿自己,那么他模仿	f:0.5042986737318272	m:0.49570132626817276
如果她说他欺负自己,那么他欺负	f:0.5019586479687037	m:0.4980413520312963
如果她说他追随自己,那么他追随	f:0.5013816391341996	m:0.49861836086580036
如果她说他回避自己,那么他回避	f:0.5006938339414114	m:0.4993061660585886
如果她说他思念自己,那么他思念	f:0.4998502369316378	m:0.5001497630683621
如果她说他仰慕自己,那么他仰慕	f:0.4995852404759708	m:0.5004147595240291
如果她说他冷落自己,那么他冷落	f:0.49825886421076093	m:0.5017411357892391
如果她说他靠近自己,那么他靠近	f:0.5004554850651989	m:0.4995445149348012
如果她说他辅导自己,那么他辅导	f:0.503470350906989	m:0.496529649093011
如果她说他干扰自己,那么他干扰	f:0.4992022417503074	m:0.5007977582496925
如果她说他加入自己,那么他加入	f:0.49902279671371247	m:0.5009772032862876
如果她说他接近自己,那么他接近	f:0.49985261005776377	m:0.5001473899422363
如果她说他看望自己,那么他看望	f:0.5002733451274786	m:0.4997266548725215
如果她说他捞自己,那么他捞	f:0.49881865886067384	m:0.5011813411393261
如果她说他欢迎自己,那么他欢迎	f:0.5007276633506564	m:0.4992723366493435
如果她说他勾引自己,那么他勾引	f:0.4996961673397154	m:0.5003038326602846
如果她说他勾结自己,那么他勾结	f:0.5022961986642797	m:0.49770380133572023
如果她说他等自己,那么他等	f:0.4989254966155464	m:0.5010745033844535
如果她说他等候自己,那么他等候	f:0.5022807680202149	m:0.49771923197978496
如果她说他挤自己,那么他挤	f:0.49708051572172496	m:0.502919484278275
如果她说他排挤自己,那么他排挤	f:0.49921818816488756	m:0.5007818118351124
如果她说他欺压自己,那么他欺压	f:0.4997319099750235	m:0.5002680900249765
如果她说他探望自己,那么他探望	f:0.5013456015259885	m:0.49865439847401144
如果她说他信任自己,那么他信任	f:0.5035174092700568	m:0.4964825907299431
如果她说他响应自己,那么他响应	f:0.5002338918686674	m:0.4997661081313326
如果她说他学习自己,那么他学习	f:0.5007300730262824	m:0.4992699269737176
如果她说他咬自己,那么他咬	f:0.49807986839234153	m:0.5019201316076585
如果她说他消灭自己,那么他消灭	f:0.4991087577780773	m:0.5008912422219227
如果她说他追赶自己,那么他追赶	f:0.5007896504086194	m:0.4992103495913805
如果她说他追求自己,那么他追求	f:0.5025441053323996	m:0.4974558946676005
如果她说他阻挡自己,那么他阻挡	f:0.4994669016142383	m:0.5005330983857617
如果她说他孝敬自己,那么他孝敬	f:0.501279362013634	m:0.498720637986366
如果她说他赢自己,那么他赢	f:0.49895231555810604	m:0.501047684441894
如果她说他招呼自己,那么他招呼	f:0.49967046331263426	m:0.5003295366873657
如果她说他指导自己,那么他指导	f:0.5076503244975631	m:0.49234967550243686
如果她说他支援自己,那么他支援	f:0.5012140285114838	m:0.4987859714885162
如果她说他替换自己,那么他替换	f:0.5014267016364484	m:0.49857329836355163
如果她说他通知自己,那么他通知	f:0.5007753647702227	m:0.49922463522977734
如果她说他吸引自己,那么他吸引	f:0.5001218761293295	m:0.4998781238706706
如果她说他影响自己,那么他影响	f:0.49909959749326116	m:0.5009004025067388
如果她说他杀害自己,那么他杀害	f:0.4997313954194492	m:0.5002686045805508
如果她说他赔偿自己,那么他赔偿	f:0.5007446654223053	m:0.49925533457769466
如果她说他衬托自己,那么他衬托	f:0.5002595964818766	m:0.4997404035181234
如果她说他扣留自己,那么他扣留	f:0.4979934150510089	m:0.5020065849489911
如果她说他恐吓自己,那么他恐吓	f:0.5016498219416133	m:0.49835017805838666
如果她说他联络自己,那么他联络	f:0.5005196874719675	m:0.4994803125280325
如果她说他忍受自己,那么他忍受	f:0.49971264638842033	m:0.5002873536115796
如果她说他请示自己,那么他请示	f:0.5099193828511885	m:0.4900806171488115
如果她说他算计自己,那么他算计	f:0.5025776461514498	m:0.4974223538485501
