如果她喜欢自己,那么她喜欢	f:0.5082739084531276	m:0.49172609154687236
如果她厌恶自己,那么她厌恶	f:0.5041061697882576	m:0.4958938302117423
如果她帮助自己,那么她帮助	f:0.5066281295342971	m:0.4933718704657029
如果她相信自己,那么她相信	f:0.5262766864764915	m:0.4737233135235085
如果她支持自己,那么她支持	f:0.5141842772953962	m:0.4858157227046039
如果她欺骗自己,那么她欺骗	f:0.5070482676362191	m:0.49295173236378087
如果她安慰自己,那么她安慰	f:0.5067292055510295	m:0.4932707944489705
如果她挑战自己,那么她挑战	f:0.5044581975085854	m:0.49554180249141455
如果她鄙视自己,那么她鄙视	f:0.5111857632125423	m:0.48881423678745767
如果她忽略自己,那么她忽略	f:0.5102802360971519	m:0.4897197639028481
如果她原谅自己,那么她原谅	f:0.5089643767562784	m:0.49103562324372163
如果她怀疑自己,那么她怀疑	f:0.5195061805717077	m:0.48049381942829233
如果她超越自己,那么她超越	f:0.5015944978375958	m:0.49840550216240415
如果她设计自己,那么她设计	f:0.5122174085123008	m:0.48778259148769926
如果她讨厌自己,那么她讨厌	f:0.5126153806237668	m:0.48738461937623323
如果她介绍自己,那么她介绍	f:0.5074677581079109	m:0.49253224189208916
如果她夸奖自己,那么她夸奖	f:0.5193843165008292	m:0.4806156834991709
如果她改造自己,那么她改造	f:0.5073826963196421	m:0.49261730368035794
如果她结束自己,那么她结束	f:0.5116269010953398	m:0.48837309890466013
如果她解放自己,那么她解放	f:0.5059916865538255	m:0.4940083134461744
如果她刺激自己,那么她刺激	f:0.5036301015509048	m:0.4963698984490951
如果她考虑自己,那么她考虑	f:0.508264634431926	m:0.49173536556807407
如果她掐自己,那么她掐	f:0.5095567105072647	m:0.49044328949273536
如果她评论自己,那么她评论	f:0.5181949392912656	m:0.4818050607087344
如果她爱惜自己,那么她爱惜	f:0.5055970151191628	m:0.4944029848808372
如果她爱护自己,那么她爱护	f:0.5050704152967952	m:0.4949295847032048
如果她爱自己,那么她爱	f:0.505066753730931	m:0.4949332462690691
如果她保护自己,那么她保护	f:0.5031243688161462	m:0.49687563118385386
如果她改正自己,那么她改正	f:0.5025421316362569	m:0.497457868363743
如果她谈论自己,那么她谈论	f:0.5150560357430144	m:0.4849439642569856
如果她维护自己,那么她维护	f:0.5054779817509637	m:0.49452201824903624
如果她牺牲自己,那么她牺牲	f:0.5055968638636832	m:0.49440313613631687
如果她重复自己,那么她重复	f:0.5152496791324954	m:0.4847503208675045
如果她抓自己,那么她抓	f:0.5077340835370129	m:0.49226591646298706
如果她指着自己,那么她指着	f:0.5078480754048633	m:0.4921519245951367
如果她锻炼自己,那么她锻炼	f:0.5063745083968455	m:0.4936254916031545
如果她打自己,那么她打	f:0.5071102942341661	m:0.49288970576583385
如果她操心自己,那么她操心	f:0.5075325919109362	m:0.4924674080890637
如果她纠正自己,那么她纠正	f:0.5036634057298117	m:0.4963365942701883
如果她扎自己,那么她扎	f:0.5161930820823888	m:0.4838069179176112
如果她谈到自己,那么她谈到	f:0.5157869240405859	m:0.48421307595941404
如果她证明自己,那么她证明	f:0.5471063616030769	m:0.45289363839692315
如果她训练自己,那么她训练	f:0.5117731301277022	m:0.4882268698722978
如果她依靠自己,那么她依靠	f:0.5057019125393744	m:0.4942980874606257
如果她优待自己,那么她优待	f:0.5069077838940285	m:0.4930922161059715
如果她鞭策自己,那么她鞭策	f:0.5012501239032883	m:0.49874987609671173
如果她尊重自己,那么她尊重	f:0.5147832075122474	m:0.48521679248775257
如果她辜负自己,那么她辜负	f:0.505811256581013	m:0.494188743418987
如果她担心自己,那么她担心	f:0.5083468445041465	m:0.49165315549585353
如果她控制自己,那么她控制	f:0.5078823633959786	m:0.4921176366040214
