如果他说她反思自己,那么她反思	f:0.5070033921347405	m:0.4929966078652594
如果他说她反省自己,那么她反省	f:0.5017491701530047	m:0.4982508298469952
如果他说她坦白自己,那么她坦白	f:0.5059787540610481	m:0.49402124593895197
如果他说她迷失自己,那么她迷失	f:0.5130754211226916	m:0.48692457887730856
如果他说她克制自己,那么她克制	f:0.5059697956386879	m:0.49403020436131206
如果他说她检讨自己,那么她检讨	f:0.5069491248141161	m:0.49305087518588386
如果他说她放松自己,那么她放松	f:0.5039035690381483	m:0.4960964309618518
如果他说她磨练自己,那么她磨练	f:0.5117692801670196	m:0.48823071983298044
如果他说她奉献自己,那么她奉献	f:0.5036674204201999	m:0.49633257957980015
如果他说她调整自己,那么她调整	f:0.5073346309593579	m:0.4926653690406421
如果他说她提升自己,那么她提升	f:0.5042392755143629	m:0.49576072448563707
如果他说她炫耀自己,那么她炫耀	f:0.5038195732344958	m:0.4961804267655042
如果他说她调节自己,那么她调节	f:0.5033481028082896	m:0.49665189719171043
如果他说她坚持自己,那么她坚持	f:0.5077177303329979	m:0.49228226966700217
如果他说她交代自己,那么她交代	f:0.5053494424312365	m:0.49465055756876347
如果他说她计较自己,那么她计较	f:0.509242022802433	m:0.49075797719756703
如果他说她检讨自己,那么她检讨	f:0.5069491248141161	m:0.49305087518588386
如果他说她卖弄自己,那么她卖弄	f:0.5046159349735237	m:0.4953840650264763
如果他说她表达自己,那么她表达	f:0.5055315419276387	m:0.49446845807236134
如果他说她表现自己,那么她表现	f:0.5078654811629407	m:0.4921345188370593
如果他说她扭伤自己,那么她扭伤	f:0.5024174778004801	m:0.49758252219951987
