如果他喜欢自己,那么他喜欢	f:0.49208383558847335	m:0.5079161644115266
如果他厌恶自己,那么他厌恶	f:0.4963822418374484	m:0.5036177581625516
如果他帮助自己,那么他帮助	f:0.49637222707305634	m:0.5036277729269437
如果他相信自己,那么他相信	f:0.48668406504281503	m:0.513315934957185
如果他支持自己,那么他支持	f:0.49545484977267495	m:0.504545150227325
如果他欺骗自己,那么他欺骗	f:0.4940888359075032	m:0.5059111640924968
如果他安慰自己,那么他安慰	f:0.49543183796833423	m:0.5045681620316658
如果他挑战自己,那么他挑战	f:0.4980449485930138	m:0.5019550514069863
如果他鄙视自己,那么他鄙视	f:0.48856518763669843	m:0.5114348123633016
如果他忽略自己,那么他忽略	f:0.4933105263293567	m:0.5066894736706433
如果他原谅自己,那么他原谅	f:0.4935794785180853	m:0.5064205214819146
如果他怀疑自己,那么他怀疑	f:0.49347980040610206	m:0.5065201995938979
如果他超越自己,那么他超越	f:0.49864507608397207	m:0.501354923916028
如果他设计自己,那么他设计	f:0.48980930102713904	m:0.510190698972861
如果他讨厌自己,那么他讨厌	f:0.4914391891400978	m:0.5085608108599022
如果他介绍自己,那么他介绍	f:0.49282053853052843	m:0.5071794614694716
如果他夸奖自己,那么他夸奖	f:0.49420091031573454	m:0.5057990896842655
如果他改造自己,那么他改造	f:0.49719704306757734	m:0.5028029569324227
如果他结束自己,那么他结束	f:0.49319387329220743	m:0.5068061267077926
如果他解放自己,那么他解放	f:0.4961967282742641	m:0.5038032717257358
如果他刺激自己,那么他刺激	f:0.49833269548339526	m:0.5016673045166048
如果他考虑自己,那么他考虑	f:0.49569347433605676	m:0.5043065256639432
如果他掐自己,那么他掐	f:0.4892623534264737	m:0.5107376465735264
如果他评论自己,那么他评论	f:0.49105137552525313	m:0.5089486244747469
如果他爱惜自己,那么他爱惜	f:0.49647650200115445	m:0.5035234979988454
如果他爱护自己,那么他爱护	f:0.4961001198077917	m:0.5038998801922084
如果他爱自己,那么他爱	f:0.4892927014088322	m:0.5107072985911678
如果他保护自己,那么他保护	f:0.4969152674393095	m:0.5030847325606904
如果他改正自己,那么他改正	f:0.49885203330980193	m:0.5011479666901981
如果他谈论自己,那么他谈论	f:0.4954957037008921	m:0.5045042962991079
如果他维护自己,那么他维护	f:0.4953448516696908	m:0.5046551483303092
如果他牺牲自己,那么他牺牲	f:0.496743633611166	m:0.503256366388834
如果他重复自己,那么他重复	f:0.4916728690555637	m:0.5083271309444364
如果他抓自己,那么他抓	f:0.49431609399422055	m:0.5056839060057794
如果他指着自己,那么他指着	f:0.49377426845761146	m:0.5062257315423886
如果他锻炼自己,那么他锻炼	f:0.49739472199539597	m:0.502605278004604
如果他打自己,那么他打	f:0.48960801181092	m:0.5103919881890799
如果他操心自己,那么他操心	f:0.49674313883429677	m:0.5032568611657031
如果他纠正自己,那么他纠正	f:0.49801578258190365	m:0.5019842174180963
如果他扎自己,那么他扎	f:0.48071607062979316	m:0.5192839293702068
如果他谈到自己,那么他谈到	f:0.49403048508594233	m:0.5059695149140577
如果他证明自己,那么他证明	f:0.48379851090375525	m:0.5162014890962447
如果他训练自己,那么他训练	f:0.4924547728857713	m:0.5075452271142288
如果他依靠自己,那么他依靠	f:0.4960307952515689	m:0.5039692047484312
如果他优待自己,那么他优待	f:0.4918705753836725	m:0.5081294246163275
如果他鞭策自己,那么他鞭策	f:0.49893801211500843	m:0.5010619878849916
如果他尊重自己,那么他尊重	f:0.4905880981168697	m:0.5094119018831303
如果他辜负自己,那么他辜负	f:0.4977501002002144	m:0.5022498997997856
如果他担心自己,那么他担心	f:0.49715952733678653	m:0.5028404726632135
如果他控制自己,那么他控制	f:0.4962281128188642	m:0.5037718871811359
