如果她知道他经常批评自己,那么道他经常批评	f:0.5086973043674573	m:0.49130269563254275
如果她知道他把自己的书送给了朋友,那么道他把自己的书送给了	f:0.5064741549675609	m:0.49352584503243907
如果她担心他会批评自己,那么心他会批评	f:0.5093897194936814	m:0.49061028050631855
如果她知道他害了自己,那么道他害了	f:0.5101825714705687	m:0.48981742852943133
如果她觉得他对自己没信心,那么得他对自己没	f:0.5015925679749249	m:0.4984074320250752
如果她认为他的骄傲害了自己,那么为他的骄傲害了	f:0.5029247903074073	m:0.49707520969259267
如果她知道他告诉过她有关自己的工作,那么道他告诉过她有关自己的	f:0.5031835685301008	m:0.4968164314698991
如果她说他跟她谈过自己的事,那么他跟她谈过自己	f:0.5031906142811724	m:0.49680938571882766
如果她认为他从她那里听说了自己的分数,那么为他从她那里听说了自己的	f:0.5020205548520822	m:0.4979794451479178
如果她知道他在她家洗自己的照片,那么道他在她家洗自己的	f:0.5001425280895595	m:0.4998574719104405
如果她不喜欢他管自己的事,那么喜欢他管自己	f:0.503924611913446	m:0.4960753880865541
如果她知道他的报告害了自己,那么道他的报告害了	f:0.5022813362315746	m:0.4977186637684255
如果她的话暗示他的信害了自己,那么话暗示他的信害了	f:0.5027586468553591	m:0.49724135314464085
如果她认为他恨自己,那么为他恨	f:0.50289425467119	m:0.4971057453288101
如果她说他喜欢自己,那么他喜欢	f:0.5005955143809747	m:0.49940448561902534
如果她告诉别人他觉得自己明年可以考进好大学,那么诉别人他觉得自己明年可以考进好	f:0.5038786801930916	m:0.4961213198069084
如果她说他批评了自己,那么他批评了	f:0.5154583189185958	m:0.4845416810814042
如果她觉得他在批评自己,那么得他在批评	f:0.503587975511056	m:0.4964120244889439
如果她认为他知道自己的朋友是一个好人,那么为他知道自己的朋友是一个	f:0.49990255935823036	m:0.5000974406417696
如果她觉得他不喜欢自己,那么得他不喜欢	f:0.5003591952227536	m:0.4996408047772464
