如果她说这本书伤害了自己,那么这本书伤害了	f:0.33471486620741153	m:0.33301555065385163	t:0.3322695831387369
如果他说这本书改变了自己,那么这本书改变了	f:0.331849206207177	m:0.3357486564509947	t:0.3324021373418283
如果他说这本书影响了自己,那么这本书影响了	f:0.33205030275044495	m:0.33543872197413893	t:0.3325109752754162
如果他说这本书吸引了自己,那么这本书吸引了	f:0.3312643652638753	m:0.33634811522514035	t:0.3323875195109844
如果她说这本书启发了自己,那么这本书启发了	f:0.3358044676874544	m:0.3318453161836109	t:0.3323502161289346
如果他说这本书激励了自己,那么这本书激励了	f:0.33191440670841993	m:0.33559474998025185	t:0.33249084331132833
如果她说这本书刺激了自己,那么这本书刺激了	f:0.3338087266884067	m:0.3330804838105187	t:0.3331107895010746
如果他说这本书困扰了自己,那么这本书困扰了	f:0.33205477951485285	m:0.3355441498887621	t:0.33240107059638513
如果他说这本书鼓舞了自己,那么这本书鼓舞了	f:0.3327393234807267	m:0.3340937522823182	t:0.3331669242369551
如果他说这本书鞭策了自己,那么这本书鞭策了	f:0.33295166242299595	m:0.3337865416158294	t:0.33326179596117467
如果他说这本书感动了自己,那么这本书感动了	f:0.3320914592720239	m:0.3354208067785123	t:0.3324877339494638
如果他说这本书迷惑了自己,那么这本书迷惑了	f:0.33266259200394377	m:0.33438463672022506	t:0.3329527712758311
如果她说这本书提醒了自己,那么这本书提醒了	f:0.33717440054706327	m:0.33141374557191156	t:0.33141185388102506
如果他说这封信伤害了自己,那么这封信伤害了	f:0.3319528864521714	m:0.33575121809089975	t:0.33229589545692895
如果她说这封信改变了自己,那么这封信改变了	f:0.3373364791364083	m:0.33121366556951115	t:0.33144985529408055
如果她说这封信影响了自己,那么这封信影响了	f:0.33389098163770703	m:0.3330570581337903	t:0.33305196022850275
如果她说这封信吸引了自己,那么这封信吸引了	f:0.33510662596676266	m:0.33239269202959015	t:0.33250068200364724
如果她说这封信启发了自己,那么这封信启发了	f:0.3361403749967007	m:0.3318403263368233	t:0.33201929866647606
如果他说这封信激励了自己,那么这封信激励了	f:0.332219884397876	m:0.33517262965894856	t:0.3326074859431754
如果他说这封信刺激了自己,那么这封信刺激了	f:0.33254141558707195	m:0.334591839537707	t:0.33286674487522094
如果她说这封信困扰了自己,那么这封信困扰了	f:0.3349226065685946	m:0.3325869723914094	t:0.3324904210399959
如果她说这封信鼓舞了自己,那么这封信鼓舞了	f:0.3347656205631225	m:0.33250168911205863	t:0.33273269032481895
如果他说这封信鞭策了自己,那么这封信鞭策了	f:0.3329211650464484	m:0.33388608534033626	t:0.33319274961321527
如果她说这封信感动了自己,那么这封信感动了	f:0.33507913128404626	m:0.3324102877481191	t:0.3325105809678347
如果她说这封信刺激了自己,那么这封信刺激了	f:0.3346803708964953	m:0.33260925813377684	t:0.3327103709697278
如果她说这封信迷惑了自己,那么这封信迷惑了	f:0.3342718617177828	m:0.3328257743013487	t:0.33290236398086853
如果她说这封信提醒了自己,那么这封信提醒了	f:0.33647744142191816	m:0.3317054231065723	t:0.3318171354715096
如果她说这封信激励了自己,那么这封信激励了	f:0.33620695235977577	m:0.3318339058101293	t:0.3319591418300949
如果他说这个举动伤害了自己,那么这个举动伤害了	f:0.3293346856994272	m:0.34066747640085787	t:0.3299978378997149
如果她说这个举动改变了自己,那么这个举动改变了	f:0.33939827056688704	m:0.3301520591126899	t:0.33044967032042294
