如果他知道我经常批评自己,那么道我经常批评	f:0.326286212327771	m:0.333026011512543	w:0.34068777615968593
如果她知道我经常批评自己,那么道我经常批评	f:0.33695656400971696	m:0.3239542742917477	w:0.33908916169853526
如果他认为她知道我把自己的书送给了自己的朋友,那么为她知道我把自己的书送给了自己的	f:0.33434131605940104	m:0.33136433059274917	w:0.33429435334784974
如果她认为他知道我把自己的书送给了自己的朋友,那么为他知道我把自己的书送给了自己的	f:0.33441999057652955	m:0.3308968279668498	w:0.3346831814566206
如果他担心我会批评自己,那么心我会批评	f:0.32774286846176975	m:0.3353081923912086	w:0.33694893914702156
如果她担心我会批评自己,那么心我会批评	f:0.33822701234320857	m:0.3251567741789899	w:0.3366162134778015
如果他知道我害了自己,那么道我害了	f:0.3253355664356018	m:0.3351706744924229	w:0.33949375907197527
如果她知道我害了自己,那么道我害了	f:0.33520426454353425	m:0.3249931662285958	w:0.33980256922786994
如果他觉得我对自己没信心,那么得我对自己没	f:0.3286576632055676	m:0.3309644729850104	w:0.3403778638094221
如果她觉得我对自己没信心,那么得我对自己没	f:0.33090346743445603	m:0.32844645004595185	w:0.3406500825195921
如果他认为我的骄傲害了自己,那么为我的骄傲害了	f:0.3282718137388686	m:0.3308203118721784	w:0.340907874388953
如果她认为我的骄傲害了自己,那么为我的骄傲害了	f:0.3311301166037014	m:0.328306238927715	w:0.3405636444685836
如果她知道我告诉过她有关自己的工作,那么道我告诉过她有关自己的	f:0.3342963760666844	m:0.32755140576914327	w:0.33815221816417235
如果他知道我告诉过他有关自己的工作,那么道我告诉过他有关自己的	f:0.32684651580876933	m:0.334303598867823	w:0.33884988532340765
如果他说我跟他谈过自己的事,那么我跟他谈过自己	f:0.3285112880292407	m:0.3358576222149355	w:0.33563108975582384
如果她说我跟她谈过自己的事,那么我跟她谈过自己	f:0.33664498095016865	m:0.32801495655004476	w:0.33534006249978654
如果她认为我从她那里听说了自己的分数,那么为我从她那里听说了自己的	f:0.33314665944138966	m:0.3288993753065521	w:0.33795396525205823
如果他认为我从他那里听说了自己的分数,那么为我从他那里听说了自己的	f:0.32893512059402347	m:0.33339016216663525	w:0.3376747172393413
如果他知道我在他家洗自己的照片,那么道我在他家洗自己的	f:0.33066096350851637	m:0.3327005737935715	w:0.3366384626979121
如果她知道我在她家洗自己的照片,那么道我在她家洗自己的	f:0.3325597600454435	m:0.33118664063177206	w:0.3362535993227845
如果当时他怕我再去找自己的麻烦就给了我钱,那么他怕我再去找自己的麻烦就给了	f:0.33097784882620407	m:0.3333219609157703	w:0.33570019025802555
如果当时她怕我再去找自己的麻烦就给了我钱,那么她怕我再去找自己的麻烦就给了	f:0.3366982792459249	m:0.3289869996710819	w:0.3343147210829932
如果她知道我的报告害了自己,那么道我的报告害了	f:0.3317910203747214	m:0.32893215929998143	w:0.3392768203252971
如果他知道我的报告害了自己,那么道我的报告害了	f:0.32874969745491095	m:0.3318281081456585	w:0.33942219439943055
如果他的话暗示我的信害了自己,那么话暗示我的信害了	f:0.32975041321511167	m:0.33156127239436983	w:0.33868831439051855
如果她的话暗示我的信害了自己,那么话暗示我的信害了	f:0.331936417012057	m:0.33019532695101245	w:0.33786825603693055
如果她认为我恨自己,那么为我恨	f:0.3294923629980929	m:0.3207517059295695	w:0.34975593107233754
如果他认为我恨自己,那么为我恨	f:0.3229421296884878	m:0.32806660266645243	w:0.3489912676450597
如果他说我喜欢自己,那么我喜欢	f:0.3287330282419928	m:0.3348190207903753	w:0.33644795096763197
如果她说我喜欢自己,那么我喜欢	f:0.33449385981032725	m:0.3278157159897139	w:0.337690424199959
如果他不喜欢我管自己的事,那么喜欢我管自己	f:0.32845283895420196	m:0.3331234987380447	w:0.3384236623077533
如果她不喜欢我管自己的事,那么喜欢我管自己	f:0.3323386403410256	m:0.3290427500208496	w:0.3386186096381248
如果他告诉别人我觉得自己明年可以考进好大学,那么诉别人我觉得自己明年可以考进好	f:0.33126291974746924	m:0.33253761935297715	w:0.3361994608995536
如果他说我批评了自己,那么我批评了	f:0.32495429614752763	m:0.33920867766488244	w:0.33583702618758987
如果她说我批评了自己,那么我批评了	f:0.34496253972685753	m:0.3215043316376197	w:0.33353312863552265
如果她觉得我在批评自己,那么得我在批评	f:0.3384069183789868	m:0.32453168822888157	w:0.33706139339213176
如果他觉得我在批评自己,那么得我在批评	f:0.3262711981496539	m:0.33536027850598427	w:0.33836852334436174
如果她认为我知道自己的太太是一个好人,那么为我知道自己的太太是一个	f:0.3330523389390904	m:0.33260062556913045	w:0.33434703549177913
如果他认为我知道自己的太太是一个好人,那么为我知道自己的太太是一个	f:0.33250275211280955	m:0.33293835368420305	w:0.33455889420298734
如果他觉得我不喜欢自己,那么得我不喜欢	f:0.3283987590559729	m:0.3313283772061165	w:0.3402728637379106
如果她觉得我不喜欢自己,那么得我不喜欢	f:0.33068518306372313	m:0.32859660775142396	w:0.3407182091848529
