如果她告诉他一个关于自己的秘密， 那么秘密是关于	f:0.5011759624903082	m:0.49882403750969184
如果她寄给他一封关于自己的信， 那么信是关于	f:0.5020126472953563	m:0.4979873527046436
如果她送给他一本关于自己的书， 那么书是关于	f:0.5007708297057877	m:0.4992291702942124
如果她描述给他一个关于自己的梦， 那么梦是关于	f:0.5007520953516411	m:0.4992479046483589
如果她解释给他一个关于自己的决定， 那么决定是关于	f:0.5023653541198724	m:0.4976346458801276
如果她展示给他一幅关于自己的画， 那么画是关于	f:0.5010303417042872	m:0.4989696582957128
如果她讲述给他一个关于自己的故事， 那么故事是关于	f:0.5013427123223081	m:0.4986572876776919
如果她编写给他一首关于自己的诗， 那么诗是关于	f:0.504139976608747	m:0.49586002339125296
如果她演示给他一个关于自己的技巧， 那么技巧是关于	f:0.5006126485085486	m:0.4993873514914514
如果她描述给他一场关于自己的经历， 那么经历是关于	f:0.5018391692863045	m:0.4981608307136955
如果她回忆给他一段关于自己的往事， 那么往事是关于	f:0.500921101431526	m:0.499078898568474
如果她给他看了一张关于自己的照片， 那么照片是关于	f:0.502321737924112	m:0.49767826207588794
如果她发给他一条关于自己的消息， 那么消息是关于	f:0.50052043704031	m:0.49947956295969004
如果她写给他一篇关于自己的文章， 那么文章是关于	f:0.5022420533544179	m:0.49775794664558215
如果她展示给他一张关于自己的地图， 那么地图是关于	f:0.5006935872650953	m:0.4993064127349047
如果她讲给他一个关于自己的笑话， 那么笑话是关于	f:0.5011208325156542	m:0.4988791674843458
如果她传给他一个关于自己的文件， 那么文件是关于	f:0.500554319520506	m:0.4994456804794941
如果她绘制给他一幅关于自己的草图， 那么草图是关于	f:0.5016633675887268	m:0.49833663241127324
如果她提供给他一项关于自己的建议， 那么建议是关于	f:0.5006645794289322	m:0.4993354205710678
如果她演唱给他一首关于自己的歌曲， 那么歌曲是关于	f:0.5020925147762239	m:0.49790748522377615
如果她设计给他一个关于自己的项目， 那么项目是关于	f:0.500976467631573	m:0.499023532368427
如果她讲述给他一段关于自己的历史， 那么历史是关于	f:0.5025914072098453	m:0.49740859279015476
如果她推荐给他一本关于自己的传记， 那么传记是关于	f:0.5019030952455874	m:0.4980969047544125
如果她解释给他一个关于自己的观点， 那么观点是关于	f:0.5011056589741723	m:0.4988943410258277
如果她分享给他一篇关于自己的论文， 那么论文是关于	f:0.5024300418471239	m:0.4975699581528762
如果她报告给他一项关于自己的研究， 那么研究是关于	f:0.5008913104847401	m:0.4991086895152599
如果她送给他一个关于自己的纪念品， 那么纪念品是关于	f:0.5004607196757507	m:0.4995392803242494
如果她展示给他一份关于自己的简历， 那么简历是关于	f:0.5014946709713679	m:0.49850532902863215
如果她描绘给他一幅关于自己的肖像， 那么肖像是关于	f:0.5010903460385209	m:0.49890965396147907
如果她讨论给他一个关于自己的话题， 那么话题是关于	f:0.502699432961971	m:0.497300567038029
如果她汇报给他一项关于自己的成就， 那么成就是关于	f:0.5014875769612355	m:0.4985124230387644
如果她寄给他一件关于自己的物品， 那么物品是关于	f:0.5008751393119502	m:0.4991248606880498
如果她翻译给他一篇关于自己的文章， 那么文章是关于	f:0.5037329842959019	m:0.4962670157040982
如果她编排给他一个关于自己的节目， 那么节目是关于	f:0.5021130461759379	m:0.49788695382406206
如果她演示给他一段关于自己的舞蹈， 那么舞蹈是关于	f:0.5005535153972092	m:0.4994464846027908
如果她朗读给他一封关于自己的信件， 那么信件是关于	f:0.5015854992206681	m:0.49841450077933197
如果她发布给他一条关于自己的公告， 那么公告是关于	f:0.5006622343482658	m:0.4993377656517342
如果她策划给他一个关于自己的活动， 那么活动是关于	f:0.5008112550288124	m:0.4991887449711877
如果她陈述给他一份关于自己的声明， 那么声明是关于	f:0.501033868331364	m:0.49896613166863607
如果她发送给他一条关于自己的通知， 那么通知是关于	f:0.5003014512111261	m:0.4996985487888739
