如果他说她诬陷自己,那么她诬陷	f:0.5077863655174925	m:0.4922136344825076
如果他说她拥抱自己,那么她拥抱	f:0.5014425476103537	m:0.4985574523896463
如果他说她离开自己,那么她离开	f:0.5006406543530033	m:0.4993593456469967
如果他说她打扰自己,那么她打扰	f:0.5036407063351257	m:0.4963592936648744
如果他说她超过自己,那么她超过	f:0.5018981204105563	m:0.49810187958944374
如果他说她忘了自己,那么她忘了	f:0.5139452201851501	m:0.48605477981484996
如果他说她回答自己,那么她回答	f:0.508095452627758	m:0.491904547372242
如果他说她表扬自己,那么她表扬	f:0.5064618192781394	m:0.4935381807218606
如果他说她反对自己,那么她反对	f:0.5101013484050589	m:0.4898986515949411
如果他说她调查自己,那么她调查	f:0.5026463713415644	m:0.4973536286584356
如果他说她拜访自己,那么她拜访	f:0.5060654164490782	m:0.4939345835509218
如果他说她偷听自己,那么她偷听	f:0.5043498312958118	m:0.4956501687041882
如果他说她暗恋自己,那么她暗恋	f:0.5019808100170244	m:0.49801918998297556
如果他说她邀请自己,那么她邀请	f:0.5058118268153519	m:0.49418817318464814
如果他说她等待自己,那么她等待	f:0.5033780057576036	m:0.4966219942423964
如果他说她嫉妒自己,那么她嫉妒	f:0.5032708070033021	m:0.4967291929966979
如果他说她羡慕自己,那么她羡慕	f:0.5082163732863859	m:0.49178362671361414
如果他说她搭讪自己,那么她搭讪	f:0.5025800321946193	m:0.4974199678053807
如果他说她监视自己,那么她监视	f:0.505322102612809	m:0.4946778973871911
如果他说她吵醒自己,那么她吵醒	f:0.5045593846475459	m:0.49544061535245415
如果他说她激怒自己,那么她激怒	f:0.5018675914492102	m:0.4981324085507897
如果他说她模仿自己,那么她模仿	f:0.5066046714660792	m:0.49339532853392065
如果他说她欺负自己,那么她欺负	f:0.5023873065560028	m:0.4976126934439972
如果他说她追随自己,那么她追随	f:0.5022041580350617	m:0.4977958419649383
如果他说她回避自己,那么她回避	f:0.5015085306579505	m:0.4984914693420495
如果他说她思念自己,那么她思念	f:0.5031706993359104	m:0.49682930066408953
如果他说她仰慕自己,那么她仰慕	f:0.50514854709796	m:0.49485145290204
如果他说她冷落自己,那么她冷落	f:0.5029987764002194	m:0.49700122359978066
如果他说她靠近自己,那么她靠近	f:0.5063420147271911	m:0.4936579852728089
如果他说她辅导自己,那么她辅导	f:0.5040341056944746	m:0.4959658943055254
如果他说她干扰自己,那么她干扰	f:0.5019668917344738	m:0.4980331082655262
如果他说她加入自己,那么她加入	f:0.5015083877012365	m:0.49849161229876354
如果他说她接近自己,那么她接近	f:0.5048189171073463	m:0.49518108289265383
如果他说她看望自己,那么她看望	f:0.5062305614466471	m:0.49376943855335276
如果他说她捞自己,那么她捞	f:0.504547589435949	m:0.495452410564051
如果他说她欢迎自己,那么她欢迎	f:0.5025537137123177	m:0.49744628628768217
如果他说她勾引自己,那么她勾引	f:0.5016481964521552	m:0.49835180354784475
如果他说她勾结自己,那么她勾结	f:0.5042285028637251	m:0.4957714971362749
如果他说她等自己,那么她等	f:0.5149350637458154	m:0.48506493625418456
如果他说她等候自己,那么她等候	f:0.5035848061505722	m:0.49641519384942784
如果他说她挤自己,那么她挤	f:0.5107195361513273	m:0.4892804638486727
如果他说她排挤自己,那么她排挤	f:0.504500542405847	m:0.4954994575941531
如果他说她欺压自己,那么她欺压	f:0.503473088630532	m:0.496526911369468
如果他说她探望自己,那么她探望	f:0.5043568889053022	m:0.4956431110946979
如果他说她信任自己,那么她信任	f:0.5079588073047495	m:0.4920411926952505
如果他说她响应自己,那么她响应	f:0.5023881790689415	m:0.49761182093105844
如果他说她学习自己,那么她学习	f:0.5077619073338581	m:0.49223809266614205
如果他说她咬自己,那么她咬	f:0.5108700301556887	m:0.4891299698443113
如果他说她消灭自己,那么她消灭	f:0.5015615502359231	m:0.49843844976407686
如果他说她追赶自己,那么她追赶	f:0.5035736778235477	m:0.49642632217645233
如果他说她追求自己,那么她追求	f:0.5052935266286436	m:0.49470647337135637
如果他说她阻挡自己,那么她阻挡	f:0.5011127182772359	m:0.49888728172276414
如果他说她孝敬自己,那么她孝敬	f:0.5058230953696993	m:0.4941769046303007
如果他说她赢自己,那么她赢	f:0.5058623102197191	m:0.49413768978028083
如果他说她招呼自己,那么她招呼	f:0.5032491590975186	m:0.4967508409024814
如果他说她指导自己,那么她指导	f:0.5057335263550066	m:0.49426647364499343
如果他说她支援自己,那么她支援	f:0.5023809086317963	m:0.4976190913682037
如果他说她替换自己,那么她替换	f:0.5022622783891024	m:0.4977377216108977
如果他说她通知自己,那么她通知	f:0.5198090844845917	m:0.4801909155154083
如果他说她吸引自己,那么她吸引	f:0.5016676251990511	m:0.498332374800949
如果他说她影响自己,那么她影响	f:0.5023005568125926	m:0.49769944318740733
如果他说她杀害自己,那么她杀害	f:0.5053399504285282	m:0.4946600495714718
如果他说她赔偿自己,那么她赔偿	f:0.5032134606077605	m:0.49678653939223943
如果他说她衬托自己,那么她衬托	f:0.5030599813714106	m:0.4969400186285894
如果他说她扣留自己,那么她扣留	f:0.5029811921454491	m:0.49701880785455094
如果他说她恐吓自己,那么她恐吓	f:0.5048984505978105	m:0.4951015494021895
如果他说她联络自己,那么她联络	f:0.5019623276840384	m:0.4980376723159617
如果他说她忍受自己,那么她忍受	f:0.5021140441866588	m:0.4978859558133411
如果他说她请示自己,那么她请示	f:0.5101981128607286	m:0.4898018871392714
如果他说她算计自己,那么她算计	f:0.5095318544770638	m:0.4904681455229362
