在“他说她喜欢自己。”中，自己指的是	f:0.49984490930134495	m:0.500155090698655
在“他说她厌恶自己。”中，自己指的是	f:0.49978414609972255	m:0.5002158539002775
在“他说她帮助自己。”中，自己指的是	f:0.4997396440247691	m:0.5002603559752309
在“他说她相信自己。”中，自己指的是	f:0.4996493579230464	m:0.5003506420769536
在“他说她支持自己。”中，自己指的是	f:0.4998184761577875	m:0.5001815238422125
在“他说她欺骗自己。”中，自己指的是	f:0.4997063023375994	m:0.5002936976624006
在“他说她安慰自己。”中，自己指的是	f:0.5000347298336588	m:0.49996527016634124
在“他说她挑战自己。”中，自己指的是	f:0.4998256191681993	m:0.5001743808318008
在“他说她鄙视自己。”中，自己指的是	f:0.49967945511187667	m:0.5003205448881234
在“他说她忽略自己。”中，自己指的是	f:0.49987743061747053	m:0.5001225693825294
在“他说她原谅自己。”中，自己指的是	f:0.49960173581767675	m:0.5003982641823232
在“他说她怀疑自己。”中，自己指的是	f:0.49984429206736825	m:0.5001557079326318
在“他说她超越自己。”中，自己指的是	f:0.49967396415268767	m:0.5003260358473123
在“他说她设计自己。”中，自己指的是	f:0.5000074325362215	m:0.4999925674637785
在“他说她讨厌自己。”中，自己指的是	f:0.4998035762792917	m:0.5001964237207083
在“他说她介绍自己。”中，自己指的是	f:0.4999187269720887	m:0.5000812730279112
在“他说她夸奖自己。”中，自己指的是	f:0.4999331926232454	m:0.5000668073767546
在“他说她改造自己。”中，自己指的是	f:0.4998298566854108	m:0.5001701433145893
在“他说她结束自己。”中，自己指的是	f:0.4997551982719479	m:0.500244801728052
在“他说她解放自己。”中，自己指的是	f:0.4997737563835265	m:0.5002262436164735
在“他说她刺激自己。”中，自己指的是	f:0.49971026534663604	m:0.500289734653364
在“他说她考虑自己。”中，自己指的是	f:0.4998716603759922	m:0.5001283396240078
在“他说她掐自己。”中，自己指的是	f:0.49927869011860815	m:0.5007213098813917
在“他说她评论自己。”中，自己指的是	f:0.5001046978853242	m:0.4998953021146758
在“他说她爱惜自己。”中，自己指的是	f:0.499995121965185	m:0.500004878034815
在“他说她爱护自己。”中，自己指的是	f:0.4999364288527219	m:0.5000635711472781
在“他说她爱自己。”中，自己指的是	f:0.49911475751379125	m:0.5008852424862088
在“他说她保护自己。”中，自己指的是	f:0.5000464511102591	m:0.49995354888974086
在“他说她改正自己。”中，自己指的是	f:0.49980732683114715	m:0.5001926731688529
在“他说她谈论自己。”中，自己指的是	f:0.4999896342633307	m:0.5000103657366692
在“他说她维护自己。”中，自己指的是	f:0.5000107410596667	m:0.4999892589403333
在“他说她牺牲自己。”中，自己指的是	f:0.4998617538984704	m:0.5001382461015296
在“他说她重复自己。”中，自己指的是	f:0.499851236473502	m:0.5001487635264981
在“他说她抓自己。”中，自己指的是	f:0.49930086742549695	m:0.500699132574503
在“他说她指着自己。”中，自己指的是	f:0.4999507915928686	m:0.5000492084071314
在“他说她锻炼自己。”中，自己指的是	f:0.49993621220381146	m:0.5000637877961885
在“他说她打自己。”中，自己指的是	f:0.4988469744050944	m:0.5011530255949056
在“他说她操心自己。”中，自己指的是	f:0.49999089341145114	m:0.5000091065885489
在“他说她纠正自己。”中，自己指的是	f:0.49983933603478353	m:0.5001606639652165
在“他说她扎自己。”中，自己指的是	f:0.49902339438769316	m:0.5009766056123068
在“他说她谈到自己。”中，自己指的是	f:0.4996811734013244	m:0.5003188265986755
在“他说她证明自己。”中，自己指的是	f:0.4997619227686146	m:0.5002380772313854
在“他说她训练自己。”中，自己指的是	f:0.5001262236592554	m:0.4998737763407446
在“他说她依靠自己。”中，自己指的是	f:0.4999678138411118	m:0.5000321861588883
在“他说她优待自己。”中，自己指的是	f:0.49995192617658446	m:0.5000480738234157
在“他说她鞭策自己。”中，自己指的是	f:0.4998239189226328	m:0.5001760810773672
在“他说她尊重自己。”中，自己指的是	f:0.49982059538203	m:0.5001794046179701
在“他说她辜负自己。”中，自己指的是	f:0.499755346002956	m:0.5002446539970441
在“他说她担心自己。”中，自己指的是	f:0.499740260676562	m:0.5002597393234379
在“他说她控制自己。”中，自己指的是	f:0.49981886451925006	m:0.5001811354807499
