如果他只要将手中的剑举起，看着一抹黑影无声无息地掠向了自己，那么黑影掠向了	f:0.33244165663783204	m:0.33504224624673307	t:0.3325160971154349
如果新的门就在眼前，他却不知道那后面是什么在等待自己，那么后面有东西在等待	f:0.3322606132060847	m:0.33553394018559207	t:0.3322054466083232
如果她想那些东西若被搜查着，日本兵的刺刀会刺通了自己，那么刺刀刺痛了	f:0.3366674258209178	m:0.3317200123255699	t:0.3316125618535124
如果她感到它在暗中牢牢地控制着自己，那么它在控制	f:0.3370198826366802	m:0.33139357867503444	t:0.33158653868828536
如果男子知道旋律已经以虎钳般的力量抓住了自己，那么旋律抓住了	f:0.33316569045909183	m:0.3336619925655574	t:0.33317231697535077
如果他认为猝死会逼近自己，那么猝死逼近	f:0.33066038430143857	m:0.3385013816194116	t:0.33083823407914986
如果我甚至感到土黄色的地面都在威胁着自己，那么地面在威胁	f:0.2484710258292948	m:0.24902394148337484	w:0.2539429231148193	t:0.2485621095725111
如果杰克感到错综复杂的各类情感像刀子一样切割自己，那么情感像刀子在切割	f:0.3331968956420379	m:0.333575253579293	t:0.3332278507786691
如果适才他只是假定了几十只摄影机的黑洞洞的独眼包围着自己，那么独眼包围着	f:0.3326181151590157	m:0.3346849622110684	t:0.33269692262991596
如果她只是无形中感到杰克那无拘无束的态度在不断地威胁着自己，那么杰克的态度在威胁	f:0.33492958480236934	m:0.3325461732291775	t:0.3325242419684532
如果她觉着有个东西狠狠垫了自己一下，那么有东西垫了	f:0.3400116664091401	m:0.3300579443049653	t:0.3299303892858947
如果他刚装了一副假牙，还拿定了这种奶酪最合适自己，那么这种奶酪最适合	f:0.3321918717613413	m:0.33531531101717765	t:0.33249281722148105
如果他还不懂得瘟疫在威胁着自己，那么瘟疫威胁着	f:0.33192989061152606	m:0.33575546036974974	t:0.33231464901872415
如果走出帐篷时，他感到那早已忘掉的高山雪夜的死一般的寂静笼罩着自己，那么寂静笼罩着	f:0.33289438760929513	m:0.3342038990501885	t:0.33290171334051644
如果他觉得可能是风里的那个东西抓住了克洛维斯，他害怕那东西也会抓住自己，那么他害怕那东西会抓住	f:0.3326422558001616	m:0.33470421569871617	t:0.3326535285011223
