在“她给他的书是关于自己的。”中，自己指的是	f:0.5041138078052708	m:0.4958861921947291
在“她写给他的信是关于自己的。”中，自己指的是	f:0.5089277557831051	m:0.49107224421689477
在“她给他的结果是关于自己的。”中，自己指的是	f:0.5086881289212523	m:0.49131187107874785
在“她问他的问题是关于自己的。”中，自己指的是	f:0.5094540304048083	m:0.49054596959519164
在“她给他讲的话是关于自己的。”中，自己指的是	f:0.5106462103863081	m:0.4893537896136919
在“她告诉他的成绩是关于自己的。”中，自己指的是	f:0.5052776238029116	m:0.4947223761970883
在“她给他的经验是关于自己的。”中，自己指的是	f:0.5070142147773061	m:0.4929857852226939
在“她给他的照片是关于自己的。”中，自己指的是	f:0.5087030723094195	m:0.4912969276905806
在“她给他的计划是关于自己的。”中，自己指的是	f:0.5073888195351527	m:0.4926111804648474
在“她给他看的论文是关于自己的。”中，自己指的是	f:0.5045639454129315	m:0.4954360545870686
在“她放给他听的歌是关于自己的。”中，自己指的是	f:0.5052286488743638	m:0.4947713511256362
在“她提给他的意见是关于自己的。”中，自己指的是	f:0.5043996189356934	m:0.4956003810643066
在“她呈现给他的想法是关于自己的。”中，自己指的是	f:0.5065590690398195	m:0.49344093096018043
在“她告诉他的结果是关于自己的。”中，自己指的是	f:0.5048287175502572	m:0.4951712824497428
在“她告诉他的话是关于自己的。”中，自己指的是	f:0.5084300565214839	m:0.4915699434785162
在“她告诉他的成绩是关于自己的。”中，自己指的是	f:0.5052776238029116	m:0.4947223761970883
在“她告诉他的经验是关于自己的。”中，自己指的是	f:0.5042667388265328	m:0.4957332611734671
在“她给他展示的照片是关于自己的。”中，自己指的是	f:0.505904415194433	m:0.49409558480556703
在“她告诉他的计划是关于自己的。”中，自己指的是	f:0.5041717862873971	m:0.4958282137126028
在“她告诉他的意见是关于自己的。”中，自己指的是	f:0.5046579287927825	m:0.49534207120721757
在“她告诉他的想法是关于自己的。”中，自己指的是	f:0.5049883394752164	m:0.49501166052478374
在“她通知他的结果是关于自己的。”中，自己指的是	f:0.5045911197462949	m:0.49540888025370516
在“她通知他的成绩是关于自己的。”中，自己指的是	f:0.5051471619170291	m:0.4948528380829709
在“她分享给他的经验是关于自己的。”中，自己指的是	f:0.5062752953167561	m:0.49372470468324386
在“她分享给他的照片是关于自己的。”中，自己指的是	f:0.5070260045463303	m:0.49297399545366977
在“她分享给他的计划是关于自己的。”中，自己指的是	f:0.5062397043608519	m:0.49376029563914814
在“她向他表达的意见是关于自己的。”中，自己指的是	f:0.5062542737556739	m:0.49374572624432606
在“她告知他的想法是关于自己的。”中，自己指的是	f:0.5051898114748143	m:0.4948101885251857
在“她提供给他的书是关于自己的。”中，自己指的是	f:0.5036045558840045	m:0.4963954441159954
在“她提供给他的信是关于自己的。”中，自己指的是	f:0.5036966484959491	m:0.49630335150405097
在“她提供给他的结果是关于自己的。”中，自己指的是	f:0.505193200839787	m:0.494806799160213
在“她提供给他的经验是关于自己的。”中，自己指的是	f:0.5047155430244127	m:0.49528445697558726
在“她提供给他的照片是关于自己的。”中，自己指的是	f:0.5051668683087058	m:0.49483313169129406
在“她提供给他的计划是关于自己的。”中，自己指的是	f:0.5047198267304979	m:0.49528017326950213
在“她提供给他的意见是关于自己的。”中，自己指的是	f:0.5052883972309595	m:0.49471160276904036
在“她提供给他的想法是关于自己的。”中，自己指的是	f:0.5055167741840921	m:0.49448322581590787
在“她拒绝回答他的问题是关于自己的。”中，自己指的是	f:0.5050357694413586	m:0.49496423055864136
在“她提醒他的事情是涉及自己的。”中，自己指的是	f:0.504474054691339	m:0.495525945308661
在“她提醒他的想法是关于自己的。”中，自己指的是	f:0.5052027374543835	m:0.4947972625456165
在“她推荐他的书是关于自己的。”中，自己指的是	f:0.5089906792136201	m:0.49100932078637993
