在“他说她诬陷自己。”中，自己指的是	f:0.49956849251410745	m:0.5004315074858925
在“他说她拥抱自己。”中，自己指的是	f:0.49981919164626154	m:0.5001808083537385
在“他说她离开自己。”中，自己指的是	f:0.49965542129573776	m:0.5003445787042622
在“他说她打扰自己。”中，自己指的是	f:0.49983335205505214	m:0.5001666479449479
在“他说她超过自己。”中，自己指的是	f:0.4997020765793115	m:0.5002979234206886
在“他说她忘了自己。”中，自己指的是	f:0.4997513275798552	m:0.5002486724201449
在“他说她回答自己。”中，自己指的是	f:0.49985127954716724	m:0.5001487204528328
在“他说她表扬自己。”中，自己指的是	f:0.49994436954171073	m:0.5000556304582893
在“他说她反对自己。”中，自己指的是	f:0.4996433790679389	m:0.5003566209320611
在“他说她调查自己。”中，自己指的是	f:0.49990975356293127	m:0.5000902464370688
在“他说她拜访自己。”中，自己指的是	f:0.49987734924316546	m:0.5001226507568345
在“他说她偷听自己。”中，自己指的是	f:0.49994524451925887	m:0.5000547554807411
在“他说她暗恋自己。”中，自己指的是	f:0.4993976464615122	m:0.5006023535384878
在“他说她邀请自己。”中，自己指的是	f:0.49990177329290364	m:0.5000982267070964
在“他说她等待自己。”中，自己指的是	f:0.4997983446919732	m:0.5002016553080268
在“他说她嫉妒自己。”中，自己指的是	f:0.49959281771131864	m:0.5004071822886813
在“他说她羡慕自己。”中，自己指的是	f:0.4997958346616327	m:0.5002041653383674
在“他说她搭讪自己。”中，自己指的是	f:0.4999472679339442	m:0.5000527320660558
在“他说她监视自己。”中，自己指的是	f:0.500087057006597	m:0.49991294299340305
在“他说她吵醒自己。”中，自己指的是	f:0.4998488150350259	m:0.5001511849649741
在“他说她激怒自己。”中，自己指的是	f:0.4997830607598805	m:0.5002169392401196
在“他说她模仿自己。”中，自己指的是	f:0.49984887266060485	m:0.500151127339395
在“他说她欺负自己。”中，自己指的是	f:0.4996685343115944	m:0.5003314656884055
在“他说她追随自己。”中，自己指的是	f:0.4998516504463499	m:0.5001483495536502
在“他说她回避自己。”中，自己指的是	f:0.4996778800132229	m:0.500322119986777
在“他说她思念自己。”中，自己指的是	f:0.5000483759211729	m:0.49995162407882704
在“他说她仰慕自己。”中，自己指的是	f:0.49985382846041704	m:0.5001461715395831
在“他说她冷落自己。”中，自己指的是	f:0.499623995112354	m:0.500376004887646
在“他说她靠近自己。”中，自己指的是	f:0.4998832469594464	m:0.5001167530405535
在“他说她辅导自己。”中，自己指的是	f:0.4999567929190728	m:0.5000432070809272
在“他说她干扰自己。”中，自己指的是	f:0.4998310674046186	m:0.5001689325953814
在“他说她加入自己。”中，自己指的是	f:0.49991540738927814	m:0.5000845926107218
在“他说她接近自己。”中，自己指的是	f:0.49984653166511545	m:0.5001534683348845
在“他说她看望自己。”中，自己指的是	f:0.49984626973066604	m:0.5001537302693339
在“他说她捞自己。”中，自己指的是	f:0.4990452928429517	m:0.5009547071570483
在“他说她欢迎自己。”中，自己指的是	f:0.4999098881390389	m:0.5000901118609611
在“他说她勾引自己。”中，自己指的是	f:0.49990339332846073	m:0.5000966066715393
在“他说她勾结自己。”中，自己指的是	f:0.4997965331534476	m:0.5002034668465525
在“他说她等自己。”中，自己指的是	f:0.49878278230962597	m:0.5012172176903741
在“他说她等候自己。”中，自己指的是	f:0.49990065081641444	m:0.5000993491835856
在“他说她挤自己。”中，自己指的是	f:0.49903558803180637	m:0.5009644119681936
在“他说她排挤自己。”中，自己指的是	f:0.49990372359871643	m:0.5000962764012835
在“他说她欺压自己。”中，自己指的是	f:0.4995851770296641	m:0.5004148229703359
在“他说她探望自己。”中，自己指的是	f:0.5000119399046502	m:0.49998806009534974
在“他说她信任自己。”中，自己指的是	f:0.4997817443356705	m:0.5002182556643294
在“他说她响应自己。”中，自己指的是	f:0.49983244762451784	m:0.5001675523754822
在“他说她学习自己。”中，自己指的是	f:0.5000146845122757	m:0.4999853154877243
在“他说她咬自己。”中，自己指的是	f:0.4987746073252565	m:0.5012253926747434
在“他说她消灭自己。”中，自己指的是	f:0.4998262708610919	m:0.5001737291389081
在“他说她追赶自己。”中，自己指的是	f:0.49989975977357665	m:0.5001002402264234
在“他说她追求自己。”中，自己指的是	f:0.49982162297994426	m:0.5001783770200559
在“他说她阻挡自己。”中，自己指的是	f:0.4997973317624236	m:0.5002026682375764
在“他说她孝敬自己。”中，自己指的是	f:0.499759726244825	m:0.5002402737551751
在“他说她赢自己。”中，自己指的是	f:0.4992314393398731	m:0.500768560660127
在“他说她招呼自己。”中，自己指的是	f:0.49984343606559034	m:0.5001565639344097
在“他说她指导自己。”中，自己指的是	f:0.5000027166679502	m:0.4999972833320499
在“他说她支援自己。”中，自己指的是	f:0.49998367298395024	m:0.5000163270160498
在“他说她替换自己。”中，自己指的是	f:0.49978026865533415	m:0.5002197313446659
在“他说她通知自己。”中，自己指的是	f:0.4998686972570055	m:0.5001313027429944
在“他说她吸引自己。”中，自己指的是	f:0.49983554252550744	m:0.5001644574744925
在“他说她影响自己。”中，自己指的是	f:0.4998616195551993	m:0.5001383804448007
在“他说她杀害自己。”中，自己指的是	f:0.4997155648031691	m:0.500284435196831
在“他说她赔偿自己。”中，自己指的是	f:0.49991510773624837	m:0.5000848922637515
在“他说她衬托自己。”中，自己指的是	f:0.4997461514067079	m:0.500253848593292
在“他说她扣留自己。”中，自己指的是	f:0.49974486676396435	m:0.5002551332360357
在“他说她恐吓自己。”中，自己指的是	f:0.4997033560996614	m:0.5002966439003387
在“他说她联络自己。”中，自己指的是	f:0.49983263202636696	m:0.500167367973633
在“他说她忍受自己。”中，自己指的是	f:0.4995787045751261	m:0.5004212954248739
在“他说她请示自己。”中，自己指的是	f:0.49995429918648365	m:0.5000457008135164
在“他说她算计自己。”中，自己指的是	f:0.4999128514909629	m:0.5000871485090371
