如果不管他是否原谅他自己,那么他是否原谅他	f:0.49689749049614873	m:0.5031025095038514
如果赫尔曼问他自己,那么曼问他	f:0.49489714169590193	m:0.5051028583040981
如果原始的欲又来了，一种百战不死的老兵；他唤醒他自己,那么的欲又来了，一种百战不死的老兵；他唤醒他	f:0.49917461308391536	m:0.5008253869160847
如果他没有看见他自己,那么有看见他	f:0.48792036144746526	m:0.5120796385525347
如果王德好象问他自己,那么好象问他	f:0.48804749072547765	m:0.5119525092745223
如果他嘲笑他自己,那么笑他	f:0.4880921844948695	m:0.5119078155051305
如果不过这事全都怪他自己,那么这事全都怪他	f:0.49719023057025136	m:0.5028097694297486
如果他只爱他自己。,那么爱他自	f:0.4971502597621645	m:0.5028497402378355
如果他问他自己,那么他	f:0.48893185410011514	m:0.5110681458998849
如果雅夏问他自己,那么问他	f:0.4856946587382302	m:0.5143053412617697
如果斯捷潘·阿尔卡季奇想到他自己,那么潘·阿尔卡季奇想到他	f:0.4969670020872201	m:0.5030329979127799
如果倘使有这种男人，也是他在欺骗他自己,那么有这种男人，也是他在欺骗他	f:0.49839653902371384	m:0.5016034609762862
如果这要看他自己,那么看他	f:0.49361035391708985	m:0.5063896460829101
如果他不爱他自己,那么爱他	f:0.4921827428617317	m:0.5078172571382683
如果他回答他自己,那么答他	f:0.489921832694738	m:0.510078167305262
如果瑞宣认识他自己,那么认识他	f:0.4956551866182711	m:0.5043448133817289
如果他恨他自己，他轻视他自己,那么他自己，他轻视他	f:0.49161642766832536	m:0.5083835723316746
如果你不信问他自己,那么信问他	f:0.4948250810941378	m:0.5051749189058622
如果以同样的方式，拥有认识自我的知识的人会认识他自己,那么样的方式，拥有认识自我的知识的人会认识他	f:0.49866390639421415	m:0.5013360936057858
如果每个人只能代表他自己,那么人只能代表他	f:0.4981477730942948	m:0.5018522269057052
如果林乃久问他自己,那么久问他	f:0.49188650898201863	m:0.5081134910179814
