在“她说他诬陷自己。”中，自己指的是	f:0.505276288027688	m:0.494723711972312
在“她说他拥抱自己。”中，自己指的是	f:0.5060657025849279	m:0.493934297415072
在“她说他离开自己。”中，自己指的是	f:0.5076424566331852	m:0.4923575433668148
在“她说他打扰自己。”中，自己指的是	f:0.5068593580429576	m:0.49314064195704244
在“她说他超过自己。”中，自己指的是	f:0.5068907037075261	m:0.4931092962924738
在“她说他忘了自己。”中，自己指的是	f:0.5066984928551476	m:0.49330150714485244
在“她说他回答自己。”中，自己指的是	f:0.5049462146671597	m:0.4950537853328404
在“她说他表扬自己。”中，自己指的是	f:0.5054337744041288	m:0.4945662255958711
在“她说他反对自己。”中，自己指的是	f:0.5070900947492768	m:0.49290990525072326
在“她说他调查自己。”中，自己指的是	f:0.5048365227157658	m:0.49516347728423415
在“她说他拜访自己。”中，自己指的是	f:0.5050771355559254	m:0.4949228644440747
在“她说他偷听自己。”中，自己指的是	f:0.5063565889282758	m:0.4936434110717242
在“她说他暗恋自己。”中，自己指的是	f:0.5081561796256052	m:0.49184382037439484
在“她说他邀请自己。”中，自己指的是	f:0.5047948127781223	m:0.49520518722187756
在“她说他等待自己。”中，自己指的是	f:0.5048386508942038	m:0.49516134910579623
在“她说他嫉妒自己。”中，自己指的是	f:0.5070316767512628	m:0.49296832324873724
在“她说他羡慕自己。”中，自己指的是	f:0.5074089677785933	m:0.49259103222140666
在“她说他搭讪自己。”中，自己指的是	f:0.5054283166538394	m:0.49457168334616064
在“她说他监视自己。”中，自己指的是	f:0.5057048812530737	m:0.4942951187469264
在“她说他吵醒自己。”中，自己指的是	f:0.507172268979106	m:0.4928277310208941
在“她说他激怒自己。”中，自己指的是	f:0.5068054977414135	m:0.4931945022585865
在“她说他模仿自己。”中，自己指的是	f:0.5057102600604602	m:0.4942897399395398
在“她说他欺负自己。”中，自己指的是	f:0.5069882940592801	m:0.4930117059407198
在“她说他追随自己。”中，自己指的是	f:0.5057261277215122	m:0.49427387227848785
在“她说他回避自己。”中，自己指的是	f:0.505998952160724	m:0.494001047839276
在“她说他思念自己。”中，自己指的是	f:0.5055777919988769	m:0.49442220800112313
在“她说他仰慕自己。”中，自己指的是	f:0.5063304459064341	m:0.49366955409356594
在“她说他冷落自己。”中，自己指的是	f:0.5070361416319772	m:0.4929638583680229
在“她说他靠近自己。”中，自己指的是	f:0.5055402050467753	m:0.4944597949532248
在“她说他辅导自己。”中，自己指的是	f:0.5053417312487731	m:0.49465826875122687
在“她说他干扰自己。”中，自己指的是	f:0.5055111631169105	m:0.4944888368830896
在“她说他加入自己。”中，自己指的是	f:0.5061357829630524	m:0.4938642170369476
在“她说他接近自己。”中，自己指的是	f:0.5055970110633247	m:0.49440298893667534
在“她说他看望自己。”中，自己指的是	f:0.50689654113167	m:0.49310345886833
在“她说他捞自己。”中，自己指的是	f:0.5103442771871863	m:0.48965572281281367
在“她说他欢迎自己。”中，自己指的是	f:0.5051121971561587	m:0.4948878028438413
在“她说他勾引自己。”中，自己指的是	f:0.5045013597643416	m:0.4954986402356583
在“她说他勾结自己。”中，自己指的是	f:0.5053221784342475	m:0.4946778215657524
在“她说他等自己。”中，自己指的是	f:0.5103781359784271	m:0.489621864021573
在“她说他等候自己。”中，自己指的是	f:0.5050231019931419	m:0.49497689800685796
在“她说他挤自己。”中，自己指的是	f:0.511930714649854	m:0.48806928535014604
在“她说他排挤自己。”中，自己指的是	f:0.5054078209273907	m:0.49459217907260933
在“她说他欺压自己。”中，自己指的是	f:0.5068385917587132	m:0.4931614082412869
在“她说他探望自己。”中，自己指的是	f:0.5057173904407504	m:0.49428260955924963
在“她说他信任自己。”中，自己指的是	f:0.5057119378374346	m:0.4942880621625653
在“她说他响应自己。”中，自己指的是	f:0.5050350969127771	m:0.4949649030872228
在“她说他学习自己。”中，自己指的是	f:0.5063733265204953	m:0.4936266734795047
在“她说他咬自己。”中，自己指的是	f:0.510801788229956	m:0.489198211770044
在“她说他消灭自己。”中，自己指的是	f:0.5051231147435719	m:0.49487688525642826
在“她说他追赶自己。”中，自己指的是	f:0.5059060520492682	m:0.49409394795073186
在“她说他追求自己。”中，自己指的是	f:0.5066723957658494	m:0.4933276042341505
在“她说他阻挡自己。”中，自己指的是	f:0.5053289354751683	m:0.49467106452483167
在“她说他孝敬自己。”中，自己指的是	f:0.506053248804295	m:0.4939467511957049
在“她说他赢自己。”中，自己指的是	f:0.5136686265501296	m:0.4863313734498703
在“她说他招呼自己。”中，自己指的是	f:0.5041380267420751	m:0.49586197325792486
在“她说他指导自己。”中，自己指的是	f:0.5046982330290296	m:0.49530176697097034
在“她说他支援自己。”中，自己指的是	f:0.504983081947215	m:0.495016918052785
在“她说他替换自己。”中，自己指的是	f:0.5061206725309088	m:0.4938793274690912
在“她说他通知自己。”中，自己指的是	f:0.5047382703969864	m:0.4952617296030136
在“她说他吸引自己。”中，自己指的是	f:0.5049632440179187	m:0.4950367559820813
在“她说他影响自己。”中，自己指的是	f:0.5056014125675061	m:0.4943985874324938
在“她说他杀害自己。”中，自己指的是	f:0.5053191668926534	m:0.49468083310734656
在“她说他赔偿自己。”中，自己指的是	f:0.5055938591058193	m:0.4944061408941808
在“她说他衬托自己。”中，自己指的是	f:0.5052282320512314	m:0.49477176794876865
在“她说他扣留自己。”中，自己指的是	f:0.5057536385075854	m:0.4942463614924147
在“她说他恐吓自己。”中，自己指的是	f:0.5053012613401849	m:0.49469873865981506
在“她说他联络自己。”中，自己指的是	f:0.5045735108613877	m:0.49542648913861237
在“她说他忍受自己。”中，自己指的是	f:0.5066614321924601	m:0.49333856780753993
在“她说他请示自己。”中，自己指的是	f:0.5046500645787358	m:0.4953499354212641
在“她说他算计自己。”中，自己指的是	f:0.5053066570342263	m:0.4946933429657737
