在“她说这本书伤害了自己。”中，自己指的是	f:0.34044098905196213	m:0.32978868199935146	t:0.3297703289486865
在“他说这本书改变了自己。”中，自己指的是	f:0.332093882785334	m:0.33583877236170695	t:0.33206734485295897
在“他说这本书影响了自己。”中，自己指的是	f:0.3320832371395676	m:0.33585977358906643	t:0.332056989271366
在“他说这本书吸引了自己。”中，自己指的是	f:0.332248814091126	m:0.3355188095995383	t:0.33223237630933566
在“她说这本书启发了自己。”中，自己指的是	f:0.33865250138644093	m:0.33068014784563304	t:0.330667350767926
在“他说这本书激励了自己。”中，自己指的是	f:0.33195719291350245	m:0.33611639281745787	t:0.3319264142690397
在“她说这本书刺激了自己。”中，自己指的是	f:0.33986065910973323	m:0.3300764386132053	t:0.33006290227706153
在“他说这本书困扰了自己。”中，自己指的是	f:0.3318186853486542	m:0.3363780058755053	t:0.3318033087758405
在“他说这本书鼓舞了自己。”中，自己指的是	f:0.332025725970081	m:0.3359628155465748	t:0.33201145848334435
在“他说这本书鞭策了自己。”中，自己指的是	f:0.33208678794674723	m:0.3358397409786926	t:0.33207347107456014
在“他说这本书感动了自己。”中，自己指的是	f:0.3319347884570986	m:0.3361671875657685	t:0.3318980239771329
在“他说这本书迷惑了自己。”中，自己指的是	f:0.3315233873980265	m:0.3369539452010286	t:0.3315226674009449
在“她说这本书提醒了自己。”中，自己指的是	f:0.3388611321994317	m:0.3305755891228325	t:0.3305632786777357
在“他说这封信伤害了自己。”中，自己指的是	f:0.33179036615543056	m:0.3364393867017524	t:0.3317702471428171
在“她说这封信改变了自己。”中，自己指的是	f:0.3420309251757043	m:0.328990996494892	t:0.3289780783294037
在“她说这封信影响了自己。”中，自己指的是	f:0.3402404463787548	m:0.3298882933709147	t:0.32987126025033053
在“她说这封信吸引了自己。”中，自己指的是	f:0.3396122011433566	m:0.33020233845487534	t:0.33018546040176794
在“她说这封信启发了自己。”中，自己指的是	f:0.33931090944787706	m:0.33035456849596795	t:0.3303345220561549
在“他说这封信激励了自己。”中，自己指的是	f:0.3316636840439204	m:0.33669358061461585	t:0.3316427353414639
在“他说这封信刺激了自己。”中，自己指的是	f:0.3317696675509922	m:0.3364618383131655	t:0.3317684941358423
在“她说这封信困扰了自己。”中，自己指的是	f:0.34173233146374926	m:0.32914127566384593	t:0.32912639287240475
在“她说这封信鼓舞了自己。”中，自己指的是	f:0.34082789315885575	m:0.3295972213290291	t:0.32957488551211506
在“他说这封信鞭策了自己。”中，自己指的是	f:0.33188496066570583	m:0.336234234171421	t:0.33188080516287316
