在“他知道我经常批评自己。”中，自己指的是	f:0.33171317958975494	m:0.33487540977884955	w:0.3334114106313956
在“她知道我经常批评自己。”中，自己指的是	f:0.3386171599422342	m:0.330108379400893	w:0.3312744606568728
在“他认为她知道我把自己的书送给了自己的朋友。”中，自己指的是	f:0.33590886110203205	m:0.33286849706059446	w:0.33122264183737354
在“她认为他知道我把自己的书送给了自己的朋友。”中，自己指的是	f:0.3533405048319002	m:0.32218045585234006	w:0.3244790393157597
在“他担心我会批评自己。”中，自己指的是	f:0.3320329437985331	m:0.3342801654308399	w:0.333686890770627
在“她担心我会批评自己。”中，自己指的是	f:0.33643571068461003	m:0.331180801737774	w:0.33238348757761604
在“他知道我害了自己。”中，自己指的是	f:0.3306524154779459	m:0.3356455571552924	w:0.3337020273667617
在“她知道我害了自己。”中，自己指的是	f:0.33954657648232534	m:0.3291263714290942	w:0.3313270520885805
在“他觉得我对自己没信心。”中，自己指的是	f:0.3289307272208493	m:0.33916639114319075	w:0.3319028816359599
在“她觉得我对自己没信心。”中，自己指的是	f:0.34538797034772417	m:0.32646928247602597	w:0.32814274717624986
在“他认为我的骄傲害了自己。”中，自己指的是	f:0.33177231258460754	m:0.3348341537270012	w:0.33339353368839125
在“她认为我的骄傲害了自己。”中，自己指的是	f:0.3380522701374103	m:0.3303682970360138	w:0.331579432826576
在“她知道我告诉过她有关自己的工作。”中，自己指的是	f:0.33760372440768066	m:0.33058884672010175	w:0.3318074288722176
在“他知道我告诉过他有关自己的工作。”中，自己指的是	f:0.3318208224640909	m:0.3347501613281472	w:0.3334290162077619
在“他说我跟他谈过自己的事。”中，自己指的是	f:0.3311982012672075	m:0.3352003808808487	w:0.33360141785194386
在“她说我跟她谈过自己的事。”中，自己指的是	f:0.33829336166776325	m:0.3298707692571273	w:0.3318358690751095
在“她认为我从她那里听说了自己的分数。”中，自己指的是	f:0.35145624510642104	m:0.3223448015056629	w:0.32619895338791605
在“他认为我从他那里听说了自己的分数。”中，自己指的是	f:0.3270956999310484	m:0.3398778233968177	w:0.3330264766721339
在“他知道我在他家洗自己的照片。”中，自己指的是	f:0.3310976381453269	m:0.335705044335911	w:0.3331973175187621
在“她知道我在她家洗自己的照片。”中，自己指的是	f:0.33997630055593336	m:0.32921609075329494	w:0.3308076086907717
在“当时他怕我再去找自己的麻烦就给了我钱。”中，自己指的是	f:0.33086800610108347	m:0.33352411351915023	w:0.3356078803797663
在“当时她怕我再去找自己的麻烦就给了我钱。”中，自己指的是	f:0.33475678305698275	m:0.3306934825831835	w:0.3345497343598338
在“她知道我的报告害了自己。”中，自己指的是	f:0.3362977668655835	m:0.3312388433420379	w:0.33246338979237855
在“他知道我的报告害了自己。”中，自己指的是	f:0.3320263744868153	m:0.33424973581080447	w:0.33372388970238026
在“他的话暗示我的信害了自己。”中，自己指的是	f:0.32988884230570015	m:0.3345561449227626	w:0.3355550127715372
在“她的话暗示我的信害了自己。”中，自己指的是	f:0.3398916656054146	m:0.3278702421715836	w:0.3322380922230018
在“她认为我恨自己。”中，自己指的是	f:0.3364233023462307	m:0.33145383614381574	w:0.3321228615099535
在“他认为我恨自己。”中，自己指的是	f:0.33229989262747944	m:0.3344999192906625	w:0.3332001880818581
在“他说我喜欢自己。”中，自己指的是	f:0.33199978329558016	m:0.33458451363397684	w:0.333415703070443
在“她说我喜欢自己。”中，自己指的是	f:0.33648847815117516	m:0.3311646518905739	w:0.3323468699582509
在“她告诉别人我觉得自己明年可以考进好大学。”中，自己指的是	f:0.33970222782549353	m:0.32927632672961255	w:0.3310214454448938
在“他告诉别人我觉得自己明年可以考进好大学。”中，自己指的是	f:0.33075890984419476	m:0.3359938708203962	w:0.3332472193354091
在“他说我批评了自己。”中，自己指的是	f:0.33039353326295406	m:0.3356088757090529	w:0.33399759102799303
在“她说我批评了自己。”中，自己指的是	f:0.34008683307495213	m:0.3284279682825593	w:0.33148519864248843
在“她觉得我在批评自己。”中，自己指的是	f:0.3368621244957605	m:0.33104153057830366	w:0.3320963449259359
在“他觉得我在批评自己。”中，自己指的是	f:0.331968810461384	m:0.3345332600981468	w:0.33349792944046924
在“她认为我知道自己的太太是一个好人。”中，自己指的是	f:0.343000377230181	m:0.32753203081396626	w:0.32946759195585273
在“他认为我知道自己的太太是一个好人。”中，自己指的是	f:0.33043222599236266	m:0.3362656640756537	w:0.33330210993198367
在“他觉得我不喜欢自己。”中，自己指的是	f:0.33163832749825106	m:0.3348168480803252	w:0.3335448244214237
在“她觉得我不喜欢自己。”中，自己指的是	f:0.3371459679748634	m:0.33077757078837966	w:0.33207646123675694
