在“她说他喜欢自己。”中，自己指的是	f:0.506740380238147	m:0.4932596197618529
在“她说他厌恶自己。”中，自己指的是	f:0.5068515149730404	m:0.49314848502695957
在“她说他帮助自己。”中，自己指的是	f:0.5058919902938264	m:0.4941080097061736
在“她说他相信自己。”中，自己指的是	f:0.5065173789227313	m:0.4934826210772687
在“她说他支持自己。”中，自己指的是	f:0.5061403424240503	m:0.4938596575759498
在“她说他欺骗自己。”中，自己指的是	f:0.506561653422431	m:0.4934383465775691
在“她说他安慰自己。”中，自己指的是	f:0.5071137780580225	m:0.49288622194197745
在“她说他挑战自己。”中，自己指的是	f:0.5068946624002542	m:0.49310533759974584
在“她说他鄙视自己。”中，自己指的是	f:0.5077301020958299	m:0.49226989790417003
在“她说他忽略自己。”中，自己指的是	f:0.5051234742181674	m:0.49487652578183267
在“她说他原谅自己。”中，自己指的是	f:0.5062300776123936	m:0.4937699223876064
在“她说他怀疑自己。”中，自己指的是	f:0.5053295662144791	m:0.49467043378552084
在“她说他超越自己。”中，自己指的是	f:0.5066682301339476	m:0.49333176986605237
在“她说他设计自己。”中，自己指的是	f:0.5043931754311075	m:0.4956068245688925
在“她说他讨厌自己。”中，自己指的是	f:0.5070494007723357	m:0.4929505992276643
在“她说他介绍自己。”中，自己指的是	f:0.5054613094415591	m:0.4945386905584409
在“她说他夸奖自己。”中，自己指的是	f:0.5068491222433833	m:0.4931508777566167
在“她说他改造自己。”中，自己指的是	f:0.5052930235962141	m:0.49470697640378597
在“她说他结束自己。”中，自己指的是	f:0.5058110660712483	m:0.4941889339287518
在“她说他解放自己。”中，自己指的是	f:0.5064230884237063	m:0.4935769115762937
在“她说他刺激自己。”中，自己指的是	f:0.5055208341612476	m:0.4944791658387524
在“她说他考虑自己。”中，自己指的是	f:0.5060201618742797	m:0.49397983812572027
在“她说他掐自己。”中，自己指的是	f:0.5094596263203467	m:0.49054037367965336
在“她说他评论自己。”中，自己指的是	f:0.5058478799294149	m:0.49415212007058495
在“她说他爱惜自己。”中，自己指的是	f:0.5059909553450546	m:0.49400904465494544
在“她说他爱护自己。”中，自己指的是	f:0.5064690191766298	m:0.4935309808233703
在“她说他爱自己。”中，自己指的是	f:0.5144185637143041	m:0.48558143628569583
在“她说他保护自己。”中，自己指的是	f:0.5056731958681115	m:0.49432680413188856
在“她说他改正自己。”中，自己指的是	f:0.5062164663755258	m:0.4937835336244742
在“她说他谈论自己。”中，自己指的是	f:0.5065820864560778	m:0.4934179135439222
在“她说他维护自己。”中，自己指的是	f:0.5054310016893984	m:0.49456899831060164
在“她说他牺牲自己。”中，自己指的是	f:0.5060123187200414	m:0.4939876812799587
在“她说他重复自己。”中，自己指的是	f:0.5056946511019472	m:0.4943053488980528
在“她说他抓自己。”中，自己指的是	f:0.5097844305857748	m:0.4902155694142252
在“她说他指着自己。”中，自己指的是	f:0.5051999406461373	m:0.4948000593538627
在“她说他锻炼自己。”中，自己指的是	f:0.5061152804567471	m:0.49388471954325275
在“她说他打自己。”中，自己指的是	f:0.5127540919097223	m:0.48724590809027774
在“她说他操心自己。”中，自己指的是	f:0.5062958113513497	m:0.49370418864865034
在“她说他纠正自己。”中，自己指的是	f:0.5064455754990622	m:0.4935544245009377
在“她说他扎自己。”中，自己指的是	f:0.5114257539559436	m:0.4885742460440564
在“她说他谈到自己。”中，自己指的是	f:0.5073112823276288	m:0.49268871767237127
在“她说他证明自己。”中，自己指的是	f:0.5054997729095485	m:0.4945002270904515
在“她说他训练自己。”中，自己指的是	f:0.5059846901162612	m:0.4940153098837389
在“她说他依靠自己。”中，自己指的是	f:0.5058815372687339	m:0.4941184627312662
在“她说他优待自己。”中，自己指的是	f:0.5054367982257864	m:0.4945632017742136
在“她说他鞭策自己。”中，自己指的是	f:0.5054408205249027	m:0.49455917947509737
在“她说他尊重自己。”中，自己指的是	f:0.5062874685461504	m:0.4937125314538497
在“她说他辜负自己。”中，自己指的是	f:0.5057592228505773	m:0.49424077714942277
在“她说他担心自己。”中，自己指的是	f:0.5066976659891148	m:0.4933023340108851
在“她说他控制自己。”中，自己指的是	f:0.5058061184039528	m:0.49419388159604716
