如果她们觉得她是在卖弄自己，那么她在卖弄	f:0.5037735775590545	m:0.4962264224409455
如果我觉得他是想淹死自己，那么他想淹死	f:0.3261868252065544	m:0.3291913941836138	w:0.3446217806098318
如果我看她是故意显夸自己，那么她显夸	f:0.33430608302188725	m:0.32344466112139086	w:0.342249255856722
如果我知道他又开始在责备自己，那么他责备	f:0.3270897852713534	m:0.3320480771500107	w:0.3408621375786358
如果我也提醒了他注意自己，那么他注意	f:0.3278526804421628	m:0.33135940903726374	w:0.34078791052057344
如果我发现她的唯一缺陷是她有时有点控制不住自己，那么她控制不住	f:0.3300947140257823	m:0.3215211799644674	w:0.34838410600975034
如果她想这个美国人也许一直都躺在紫外线灯下晒黑自己，那么这个美国人晒黑	f:0.5098266580541794	m:0.4901733419458206
如果请你不要以为我只是考虑自己，那么我考虑	f:0.33173413407485913	m:0.33244770424336956	w:0.3358181616817713
如果我告诉了她我刚才做了什么和我为什么克制住了自己，那么我克制	f:0.340825998723551	m:0.30927511119245876	w:0.34989889008399017
如果他埋怨她只顾着自己，那么她只顾	f:0.5240162957474156	m:0.47598370425258435
如果他认为她特意在考虑为他牺牲自己，那么她考虑牺牲	f:0.5001758290382267	m:0.4998241709617734
如果她落在后面，奇怪他竟会只顾自己，那么他只顾	f:0.5110036530649311	m:0.4889963469350688
如果我觉得他全靠香槟酒在支撑自己，那么他支撑	f:0.3282514950752465	m:0.3305446982585592	w:0.3412038066661943
如果我们看到他坐在书桌前，准备结果自己，那么他结果	f:0.32800040524723445	m:0.3287855564449269	w:0.3432140383078387
如果太阳好像早早就升起来了，想看看桑乔怎样折腾自己，那么桑乔折腾	f:0.4995875818702531	m:0.5004124181297469
如果尽管我痛不欲生，但我不愿意她这样折磨自己，那么她折磨	f:0.33053264346551564	m:0.3274848509095352	w:0.3419825056249492
如果她无法简捷地理解女人为何要如此装饰自己，那么女人装饰	f:0.5029481584584171	m:0.49705184154158294
如果我们知道她已经能够照顾自己了，那么她照顾	f:0.33398489990686664	m:0.32674261771082713	w:0.33927248238230623
